Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
"Паттерны разработки на Python. TDD, DDD и событийно-ориентированная архитектура",Персиваль Гарри,Питер:Для профессионалов,1294,2157,40,На складе
WebAssembly в действии,Галлан Жерар,Питер:Библиотека программиста,1718,2864,40,На складе
Тестирование программного обеспечения,Нет автора,Лань:Компьютеры и программное обеспечение,431,553,22,Ограничено
Разработка моделей предметной области автоматизации. Учебник для вузов,Котлинский Сергей Владимирович,Лань:Компьютеры и программное обеспечение,3014,3864,22,Ограничено
Разработка моделей предметной области автоматизации. Учебник для СПО,Котлинский Сергей Владимирович,Лань:Компьютеры и программное обеспечение,2727,3496,22,Ограничено
Тестирование программного обеспечения. Учебное пособие для СПО,Нет автора,Лань:Компьютеры и программное обеспечение,431,553,22,Ограничено
Проектирование человеко-машинного взаимодействия. Учебник для вузов,Нет автора,Лань:Компьютеры и программное обеспечение,431,553,22,Ограничено
Программные коллекции данных. Проектирование и реализация. Учебник,Романенко Татьяна Александровна,Лань:Компьютеры и программное обеспечение,1579,2024,22,Ограничено
Программные коллекции данных. Проектирование и реализация. Учебное пособие для СПО,Романенко Татьяна Александровна,Лань:Компьютеры и программное обеспечение,1579,2024,22,Ограничено
C# 9 и .NET 5. Разработка и оптимизация,Прайс Марк Дж.,Питер:Для профессионалов,2158,3596,40,На складе
Clojure на производстве,Гришаев Иван,ДМК-Пресс,1693,2171,22,На складе
Алгоритмы ГИС,Сяо Нинчуань,ДМК-Пресс,1693,2171,22,На складе
Изучаем SHINY,Уикем Хэдли,ДМК-Пресс,2201,2822,22,На складе
Математическое программирование и теория игр. Учебное пособие для вузов,Болотский Александр Владимирович,Лань:Компьютеры и программное обеспечение,886,1136,22,Ограничено
Анализ поведенческих данных на R и PYTHON,Бюиссон Флоран,ДМК-Пресс,2201,2822,22,На складе
Оптимизация запросов PostgreSQL,Домбровская Генриэтта и др.,ДМК-Пресс,1693,2171,22,На складе
Разработка беспилотных транспортных средств,Лю Шаошань и др.,ДМК-Пресс,1693,2171,22,На складе
Сети 6G. Путь от 5G к 6G глазами разработчиков,Тонг Вэнь и др.,ДМК-Пресс,3387,4342,22,На складе
Математическая теория игр и приложения. Учебное пособие,Мазалов Владимир Викторович,Лань:Математика,2451,3142,22,Ограничено
Корпоративные информационные системы на базе решения Oracle E-Business Suite. Калькуляция затрат,"Васильева Елена Викторовна, Громова Алла Александровна",Прометей,792,1042,24,На складе
Проектирование цифровых образовательных ресурсов,Коннова Лариса Петровна и др.,Прометей,1477,1944,24,На складе
Классические задачи Computer Science на языке Java,Копец Дэвид,Питер:Библиотека программиста,878,1568,44,На складе
Информационное моделирование: методолгия использования цифровых моделей. Часть 1,Бачурина Светлана Самуиловна,ДМК-Пресс,913,1171,22,На складе
Head First. Паттерны проектирования,Фримен Эрик и др.,Питер:Head First (O'Reilly),1260,2100,40,На складе
"Дизайн пользовательского опыта. Как создать продукт, который ждут",Уэлен Джон,"Манн, Иванов и Фербер:Серия O Reilly",1036,1328,22,На складе
SQL. Сборник рецептов. Решения и методики построения запросов для разработчиков баз данных,"Молинаро Энтони, Грааф Роберт де",BHV,1239,1588,22,На складе
Дружеское знакомство с тестированием программ,Лабун Билл,BHV,751,963,22,На складе
JavaScript. Дополнительные уроки для начинающих,Дронов Валерий Александрович,BHV:Для Начинающих,771,988,22,На складе
"Новые возможности Arduino, ESP, Raspberry Pi в проектах IoT",Петин Виктор Александрович,BHV:Электроника,590,756,22,На складе
Алгоритмы. Теория и практическое применение,Стивенс Род,Эксмо:Мировой компьютерный бестселлер,1012,1297,22,На складе
Апокалипсис криптографии. Подготовка криптографии к квантовым вычислениям,Граймс Роджер А.,ДМК-Пресс,1646,2110,22,На складе
"{Вы пока еще не знаете JS} Познакомьтесь, JavaScript",Симпсон Кайл,Питер:Библиотека программиста,683,1138,40,На складе
{Вы пока еще не знаете JS}. Область видимости и замыкания,Симпсон Кайл,Питер:Библиотека программиста,725,1209,40,На складе
Паттерны программирования игр,Нистрем Роберт,Бомбора:Мировой компьютерный бестселлер,1265,1622,22,На складе
Эффективный C. Профессиональное программирование,Сикорд Роберт С.,Питер:Библиотека программиста,1130,1884,40,На складе
React. Современные шаблоны для разработки приложений,"Бэнкс Алекс, Порселло Ева",Питер:Бестселлеры O`Reilly,1183,1971,40,На складе
JavaScript. Обработка событий на примерах. Учебное пособие,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1861,2386,22,Ограничено
Анализируем данные в Microsoft Power BI. Подготовка к экзамену DA-100,Маслюк Даниил,ДМК-Пресс,1829,2345,22,На складе
Программирование на PHP в примерах и задачах,Васильев Алексей,Эксмо-Пресс:Российский компьютерный бестселлер,792,1015,22,На складе
Статистический анализ экспериментальных данных в пакетах MathCAD и Excel,Воскобойников Юрий Евгеньевич,Лань:Компьютеры и программное обеспечение,1705,2186,22,Ограничено
Инженерные расчеты. Книга-билингва. Учебное пособие,Очков Валерий Федорович и др.,Лань:Компьютеры и программное обеспечение,3085,3955,22,На складе
JavaScript. Обработка событий на примерах. Учебное пособие для СПО,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1861,2386,22,Ограничено
Компьютерное моделирование автоматизации технологических процессов и производств. Практикум. СПО,Алексеев Владимир Анатольевич,Лань:Компьютеры и программное обеспечение,1705,2186,22,Ограничено
Ghidra. Полное руководство,"Игл Крис, Нэнс Кара",ДМК-Пресс,3477,4458,22,На складе
Изучаем WinUI 3.0,Эшкрафт Элвин,ДМК-Пресс,1829,2345,22,На складе
JavaScript для профессиональных веб-разработчиков,Фрисби Мэтт,Питер:Для профессионалов,2113,3522,40,На складе
Осваиваем Ethereum. Создание смарт-контрактов и децентрализованных приложений,"Антонопулос Андреас М., Вуд Гэвин",Бомбора:Мировой компьютерный бестселлер,1772,2272,22,На складе
SQL за 10 минут,Форта Бен,Вильямс,1348,1728,22,На складе
Облачные архитектуры. Разработка устойчивых и экономичных облачных приложений,Лащевски Том и др.,Питер:Библиотека программиста,950,1584,40,На складе
Делай как в Google. Разработка программного обеспечения,Винтерс Титус и др.,Питер:Бестселлеры O`Reilly,1726,2877,40,На складе
Программируем на C# 8.0. Разработка приложений,Гриффитс Иэн,Питер:Бестселлеры O`Reilly,2495,4158,40,На складе
Изучаем квантовые вычисления на Python и Q#,"Кайзер Сара, Гранад Кристофер",ДМК-Пресс,2561,3283,22,На складе
"Системы автоматического управления: теория, применение, моделирование в MATLAB. Учебное пособие",Ощепков Александр Юрьевич,Лань:Учебники для вузов. Специальная литература,1973,2530,22,На складе
Коды с суммированием для систем технического диагностирования. В 2-х томах,Сапожников Валерий Владимирович и др.,Наука,1583,2029,22,На складе
Основы тестирования программного обеспечения. СПО,Старолетов Сергей Михайлович,Лань:Компьютеры и программное обеспечение,1714,2197,22,На складе
Java. Решение практических задач,Леонард Анджел,BHV:Учебная литература для ВУЗов,1533,1966,22,На складе
Создание сайтов на Tilda. Самоучитель,Молочков Владимир Петрович,BHV:Самоучитель,691,886,22,На складе
Основы искусственного интеллекта в примерах на Python,Постолит Анатолий Владимирович,BHV:Самоучитель,866,1110,22,На складе
"Python, Django и PyCharm для начинающих",Постолит Анатолий Владимирович,BHV:Для Начинающих,807,1034,22,На складе
Bootstrap и CSS-препроцессор Sass,Прохоренок Николай Анатольевич,BHV:Самое необходимое,944,1210,22,На складе
Наиболее эффективное использование С++. 35 новых рекомендаций  по улучшению ваших программ,Мейерс Скотт,ДМК-Пресс:Для программистов,913,1171,22,На складе
Введение в надежное и безопасное распределенное программирование,Качина Кристиан и др.,ДМК-Пресс,1829,2345,22,На складе
C# 6.0. Карманный справочник,"Албахари Джозеф, Албахари Бен",Вильямс,814,1044,22,На складе
Разработка веб-приложений с использованием Flask на языке Python,Гринберг Мигель,ДМК-Пресс,1187,1522,22,На складе
