Продукт,Калорийность,Белки,Жиры,Углеводы
Антилопа,114 кКал,114 кКал,114 кКал,114 кКал
"Антилопа, запеченная",150 кКал,150 кКал,150 кКал,150 кКал
Баранина 1 кат.,209 кКал,209 кКал,209 кКал,209 кКал
Баранина 2 кат.,166 кКал,166 кКал,166 кКал,166 кКал
"Баранина австралийская ,голяшка, мясо и жир, обрезь до 1/8'' жира, жаренная",231 кКал,231 кКал,231 кКал,231 кКал
"Баранина австралийская ,голяшка, мясо и жир, обрезь до 1/8'' жира, сырая",201 кКал,201 кКал,201 кКал,201 кКал
"Баранина австралийская ,голяшка, только мясо, обрезь до 1/8'' жира, жаренная",182 кКал,182 кКал,182 кКал,182 кКал
"Баранина австралийская ,голяшка, только мясо, обрезь до 1/8'' жира, сырая",133 кКал,133 кКал,133 кКал,133 кКал
"Баранина австралийская, Мясной набор, мясо и жир, обрезь до 1/8'' жира, вареная",256 кКал,256 кКал,256 кКал,256 кКал
"Баранина австралийская, мясной набор, мясо и жир, обрезь до 1/8'' жира, сырая",229 кКал,229 кКал,229 кКал,229 кКал
"Баранина австралийская, Мясной набор, только мясо, обрезь до 1/8'' жира, вареная",201 кКал,201 кКал,201 кКал,201 кКал
"Баранина австралийская, Мясной набор, только мясо, обрезь до 1/8'' жира, сырая",142 кКал,142 кКал,142 кКал,142 кКал
"Баранина австралийская, нога передняя с лопаткой, мясо и жир, обрезь до 1/8'' жира, вареная",296 кКал,296 кКал,296 кКал,296 кКал
"Баранина австралийская, нога передняя с лопаткой, только мясо, обрезь до 1/8'' жира, вареная",233 кКал,233 кКал,233 кКал,233 кКал
"Баранина австралийская, Нога передняя, с лопаткой, мясо и жир, обрезь до 1/8'' жира, сырая",256 кКал,256 кКал,256 кКал,256 кКал
"Баранина австралийская, нога целая,  только мясо, обрезь до 1/8'' жира, жаренная",190 кКал,190 кКал,190 кКал,190 кКал
"Баранина австралийская, нога целая, мясо и жир, обрезь до 1/8'' жира, сырая",215 кКал,215 кКал,215 кКал,215 кКал
"Баранина австралийская, нога, целая, мясо и жир, обрезь до 1/8'' жира, жаренная",244 кКал,244 кКал,244 кКал,244 кКал
"Баранина австралийская, нога, целая, только мясо, обрезь до 1/8'' жира, сырая",135 кКал,135 кКал,135 кКал,135 кКал
"Баранина австралийская, нога, центральная часть на кости, мясо и жир, обрезь до 1/8'' жира, жаренная на открытом огне",215 кКал,215 кКал,215 кКал,215 кКал
"Баранина австралийская, нога, центральная часть на кости, мясо и жир, обрезь до 1/8'' жира, сырая",195 кКал,195 кКал,195 кКал,195 кКал
"Баранина австралийская, нога, центральная часть на кости, только мясо, обрезь до 1/8'' жира, жаренная на открытом огне",183 кКал,183 кКал,183 кКал,183 кКал
"Баранина австралийская, нога, центральная часть на кости, только мясо, обрезь до 1/8'' жира, сырая",143 кКал,143 кКал,143 кКал,143 кКал
"Баранина австралийская, ребра, мясо и жир, обрезь до 1/8'' жира, жаренная",277 кКал,277 кКал,277 кКал,277 кКал
"Баранина австралийская, ребра, мясо и жир, обрезь до 1/8'' жира, сырая",237 кКал,237 кКал,237 кКал,237 кКал
"Баранина австралийская, ребра, только мясо, обрезь до 1/8'' жира, жаренная",210 кКал,210 кКал,210 кКал,210 кКал
"Баранина австралийская, ребра, только мясо, обрезь до 1/8'' жира, сырая",147 кКал,147 кКал,147 кКал,147 кКал
"Баранина австралийская, рулька, мясо и жир, обрезь до 1/8"" жира, сырая",195 кКал,195 кКал,195 кКал,195 кКал
"Баранина австралийская, рулька, мясо и жир, обрезь до 1/8"" жира, тушеная",236 кКал,236 кКал,236 кКал,236 кКал
"Баранина австралийская, рулька, только мясо, обрезь до 1/8"" жира, сырая",123 кКал,123 кКал,123 кКал,123 кКал
"Баранина австралийская, рулька, только мясо, обрезь до 1/8"" жира, тушеная",165 кКал,165 кКал,165 кКал,165 кКал
"Баранина австралийская, филейная часть, мясо и жир, обрезь до 1/8'' жира, жаренная на открытом огне",219 кКал,219 кКал,219 кКал,219 кКал
"Баранина австралийская, филейная часть, мясо и жир, обрезь до 1/8'' жира, сырая",203 кКал,203 кКал,203 кКал,203 кКал
"Баранина австралийская, филейная часть, только мясо, обрезь до 1/8'' жира, жаренная на открытом огне",192 кКал,192 кКал,192 кКал,192 кКал
"Баранина австралийская, филейная часть, только мясо, обрезь до 1/8'' жира, сырая",146 кКал,146 кКал,146 кКал,146 кКал
"Баранина жареная, по 1-396",264 кКал,264 кКал,264 кКал,264 кКал
"Баранина отварная, по 1-392",244 кКал,244 кКал,244 кКал,244 кКал
"Баранина тушеная, консервы",191 кКал,191 кКал,191 кКал,191 кКал
"Баранина тушеная, по 1-422",170 кКал,170 кКал,170 кКал,170 кКал
"Баранина, голяшка",201 кКал,201 кКал,201 кКал,201 кКал
"Баранина, голяшка, запеченная",225 кКал,225 кКал,225 кКал,225 кКал
"Баранина, голяшка, только мясо",125 кКал,125 кКал,125 кКал,125 кКал
"Баранина, голяшка, только мясо, запеченная",180 кКал,180 кКал,180 кКал,180 кКал
"Баранина, грудинка мякоть",288 кКал,288 кКал,288 кКал,288 кКал
"Баранина, корейка",310 кКал,310 кКал,310 кКал,310 кКал
"Баранина, корейка мякоть",255 кКал,255 кКал,255 кКал,255 кКал
"Баранина, корейка, жаренная на открытом огне",316 кКал,316 кКал,316 кКал,316 кКал
"Баранина, корейка, запеченная",309 кКал,309 кКал,309 кКал,309 кКал
"Баранина, корейка, мясо и жир, обрезь до 1/8'' жира, отборная, жареная",290 кКал,290 кКал,290 кКал,290 кКал
"Баранина, корейка, мясо и жир, обрезь до 1/8'' жира, отборная, жареная на открытом огне",297 кКал,297 кКал,297 кКал,297 кКал
"Баранина, корейка, мясо и жир, обрезь до 1/8'' жира, отборная, сырая",279 кКал,279 кКал,279 кКал,279 кКал
"Баранина, корейка, только мясо",143 кКал,143 кКал,143 кКал,143 кКал
"Баранина, корейка, только мясо, жаренная на открытом огне",216 кКал,216 кКал,216 кКал,216 кКал
"Баранина, корейка, только мясо, запеченная",202 кКал,202 кКал,202 кКал,202 кКал
"Баранина, котлетное мясо",238 кКал,238 кКал,238 кКал,238 кКал
"Баранина, лопаточная часть",199 кКал,199 кКал,199 кКал,199 кКал
"Баранина, нога целая (с голяшкой и оковалком)",230 кКал,230 кКал,230 кКал,230 кКал
"Баранина, нога целая (с голяшкой и оковалком), запеченная",258 кКал,258 кКал,258 кКал,258 кКал
"Баранина, нога целая (с голяшкой и оковалком), только мясо",128 кКал,128 кКал,128 кКал,128 кКал
"Баранина, нога целая (с голяшкой и оковалком), только мясо, запеченная",191 кКал,191 кКал,191 кКал,191 кКал
"Баранина, пашина",205 кКал,205 кКал,205 кКал,205 кКал
"Баранина, плечевая и лопаточная части",264 кКал,264 кКал,264 кКал,264 кКал
"Баранина, плечевая и лопаточная части, жаренная на открытом огне",278 кКал,278 кКал,278 кКал,278 кКал
"Баранина, плечевая и лопаточная части, жаренная на открытом огне",210 кКал,210 кКал,210 кКал,210 кКал
"Баранина, плечевая и лопаточная части, запеченная",276 кКал,276 кКал,276 кКал,276 кКал
"Баранина, плечевая и лопаточная части, только мясо",144 кКал,144 кКал,144 кКал,144 кКал
"Баранина, плечевая и лопаточная части, только мясо, запеченная",204 кКал,204 кКал,204 кКал,204 кКал
"Баранина, плечевая и лопаточная части, только мясо, тушеная",283 кКал,283 кКал,283 кКал,283 кКал
"Баранина, плечевая и лопаточная части, тушеная",344 кКал,344 кКал,344 кКал,344 кКал
"Баранина, ребра",372 кКал,372 кКал,372 кКал,372 кКал
"Баранина, ребра, жаренные на открытом огне",361 кКал,361 кКал,361 кКал,361 кКал
"Баранина, ребра, запеченные",359 кКал,359 кКал,359 кКал,359 кКал
"Баранина, ребра, только мясо",169 кКал,169 кКал,169 кКал,169 кКал
"Баранина, ребра, только мясо, жаренные на открытом огне",235 кКал,235 кКал,235 кКал,235 кКал
"Баранина, ребра, только мясо, запеченные",232 кКал,232 кКал,232 кКал,232 кКал
"Баранина, рулька",201 кКал,201 кКал,201 кКал,201 кКал
"Баранина, рулька тушеная",243 кКал,243 кКал,243 кКал,243 кКал
"Баранина, рулька, только мясо",120 кКал,120 кКал,120 кКал,120 кКал
"Баранина, рулька, только мясо, тушеная",187 кКал,187 кКал,187 кКал,187 кКал
"Баранина, спинная часть",254 кКал,254 кКал,254 кКал,254 кКал
"Баранина, тазобедренная и лопаточная части, только мясо, нарезанное кубиками",134 кКал,134 кКал,134 кКал,134 кКал
"Баранина, тазобедренная и лопаточная части, только мясо, нарезанное кубиками, жаренная на открытом огне",186 кКал,186 кКал,186 кКал,186 кКал
"Баранина, тазобедренная и лопаточная части, только мясо, нарезанное кубиками, тушеная",223 кКал,223 кКал,223 кКал,223 кКал
"Баранина, тазобедренная часть",198 кКал,198 кКал,198 кКал,198 кКал
"Баранина, филейная часть, Новая зеландия, замороженная, мясо и жир, жаренная на открытом огне",315 кКал,315 кКал,315 кКал,315 кКал
"Баранина, филейная часть, Новая зеландия, замороженная, мясо и жир, обрезь до 1/8'' жира, жаренная на открытом огне",296 кКал,296 кКал,296 кКал,296 кКал
"Баранина, филейная часть, Новая зеландия, замороженная, мясо и жир, обрезь до 1/8'' жира, сырая",273 кКал,273 кКал,273 кКал,273 кКал
"Баранина, филейная часть, Новая зеландия, замороженная, мясо и жир, сырая",298 кКал,298 кКал,298 кКал,298 кКал
"Баранина, филейная часть, Новая зеландия, замороженная, только мясо, жаренная на открытом огне",199 кКал,199 кКал,199 кКал,199 кКал
"Баранина, филейная часть, Новая зеландия, замороженная, только мясо, сырая",142 кКал,142 кКал,142 кКал,142 кКал
"Баранина, шейная часть",208 кКал,208 кКал,208 кКал,208 кКал
Белка,120 кКал,120 кКал,120 кКал,120 кКал
"Белка, запеченная",173 кКал,173 кКал,173 кКал,173 кКал
"Бизон, мякоть плечевой части, только мясо",119 кКал,119 кКал,119 кКал,119 кКал
"Бизон, мякоть плечевой части, только мясо",109 кКал,109 кКал,109 кКал,109 кКал
"Бизон, мякоть плечевой части, только мясо, тушеная",193 кКал,193 кКал,193 кКал,193 кКал
"Бизон, стейк из верхней части бедра, только мясо",122 кКал,122 кКал,122 кКал,122 кКал
"Бизон, стейк из верхней части бедра, только мясо, жаренный на открытом огне",174 кКал,174 кКал,174 кКал,174 кКал
"Бизон, стейк из верхней части оковалка, только мясо, жаренный на открытом огне",171 кКал,171 кКал,171 кКал,171 кКал
"Бизон, стейк из рибая (реберная сердцевина, глазок), только мясо",116 кКал,116 кКал,116 кКал,116 кКал
"Бизон, стейк из рибая (реберная сердцевина, глазок), только мясо, жареный на открытом огне",177 кКал,177 кКал,177 кКал,177 кКал
"Бизон, только мясо",109 кКал,109 кКал,109 кКал,109 кКал
"Бизон, только мясо, запеченное",143 кКал,143 кКал,143 кКал,143 кКал
Бобер,146 кКал,146 кКал,146 кКал,146 кКал
"Бобер, запеченный",212 кКал,212 кКал,212 кКал,212 кКал
"Буйвол, стейк из верхней части бедра (Шошони-Баннок)",97 кКал,97 кКал,97 кКал,97 кКал
"Буйвол, стейк из верхней части бедра приготовленный (Шошони-Баннок)",146 кКал,146 кКал,146 кКал,146 кКал
"Буйволятина, 1 категории",195 кКал,195 кКал,195 кКал,195 кКал
"Буйволятина, 2 категории",135 кКал,135 кКал,135 кКал,135 кКал
"Буффало, гибрид бизона и коровы, мясной набор",143 кКал,143 кКал,143 кКал,143 кКал
"Буффало, гибрид бизона и коровы, мясной набор, запеченный",188 кКал,188 кКал,188 кКал,188 кКал
Верблюжатина 1 категории,160 кКал,160 кКал,160 кКал,160 кКал
Водяной буйвол,99 кКал,99 кКал,99 кКал,99 кКал
"Водяной буйвол, запеченный",131 кКал,131 кКал,131 кКал,131 кКал
Глаза оленя карибу (Аляска),326 кКал,326 кКал,326 кКал,326 кКал
"Голяшка, баранина, мясо и жир, обрезь до 1/8'' жира, жаренная",217 кКал,217 кКал,217 кКал,217 кКал
"Голяшка, баранина, мясо и жир, обрезь до 1/8'' жира, сырая",185 кКал,185 кКал,185 кКал,185 кКал
"Гуляш бараний, консервы",213 кКал,213 кКал,213 кКал,213 кКал
"Енот, запеченный",255 кКал,255 кКал,255 кКал,255 кКал
"Жир бараний приготовленный, Австралия",639 кКал,639 кКал,639 кКал,639 кКал
"Жир бараний сырой, Австралия",648 кКал,648 кКал,648 кКал,648 кКал
"Завтрак туриста (баранина), консервы",210 кКал,210 кКал,210 кКал,210 кКал
Кабан,122 кКал,122 кКал,122 кКал,122 кКал
"Кабан, запеченный",160 кКал,160 кКал,160 кКал,160 кКал
Карибу (канадский олень),127 кКал,127 кКал,127 кКал,127 кКал
"Карибу (канадский олень), запеченный",167 кКал,167 кКал,167 кКал,167 кКал
"Карибу, костный мозг (Аляска)",786 кКал,786 кКал,786 кКал,786 кКал
"Карибу, мясо задней четвертины, приготовленное (Аляска)",159 кКал,159 кКал,159 кКал,159 кКал
"Карибу, огузок (кострец), наполовину высушенный (Аляска)",255 кКал,255 кКал,255 кКал,255 кКал
"Карибу, окорок (Аляска)",122 кКал,122 кКал,122 кКал,122 кКал
Козлятина,109 кКал,109 кКал,109 кКал,109 кКал
"Козлятина, запеченная",143 кКал,143 кКал,143 кКал,143 кКал
Конина,133 кКал,133 кКал,133 кКал,133 кКал
Конина 1 кат.,167 кКал,167 кКал,167 кКал,167 кКал
Конина 2 кат.,121 кКал,121 кКал,121 кКал,121 кКал
"Конина тушеная, консервы",150 кКал,150 кКал,150 кКал,150 кКал
"Конина, запеченная",175 кКал,175 кКал,175 кКал,175 кКал
"Котлеты отбивные из баранины, по 1-416",394 кКал,394 кКал,394 кКал,394 кКал
"Котлеты рубленые из баранины, по 1-442",240 кКал,240 кКал,240 кКал,240 кКал
"Кролик жареный, по 2-18",241 кКал,241 кКал,241 кКал,241 кКал
"Кролик отварной, по 2-6",194 кКал,194 кКал,194 кКал,194 кКал
"Кролик, дикий",114 кКал,114 кКал,114 кКал,114 кКал
"Кролик, дикий, тушеный",173 кКал,173 кКал,173 кКал,173 кКал
Легкое баранье,83 кКал,83 кКал,83 кКал,83 кКал
Легкое баранье,95 кКал,95 кКал,95 кКал,95 кКал
"Легкое баранье, тушеное",113 кКал,113 кКал,113 кКал,113 кКал
Лось,111 кКал,111 кКал,111 кКал,111 кКал
"Лось, вырезка, только мясо, жаренный на открытом огне",162 кКал,162 кКал,162 кКал,162 кКал
"Лось, запеченный",146 кКал,146 кКал,146 кКал,146 кКал
"Лось, корейка, только мясо, жаренный на открытом огне",167 кКал,167 кКал,167 кКал,167 кКал
"Лось, тазобедренный отруб, только мясо, жаренный на открытом огне",156 кКал,156 кКал,156 кКал,156 кКал
Медведь,161 кКал,161 кКал,161 кКал,161 кКал
