Продукт,Калорийность,Белки,Жиры,Углеводы
Вина десертные,172 кКал,172 кКал,172 кКал,172 кКал
Вина крепкие,163 кКал,163 кКал,163 кКал,163 кКал
Вина ликерные,212 кКал,212 кКал,212 кКал,212 кКал
Вина полудесертные,140 кКал,140 кКал,140 кКал,140 кКал
Вина полусладкие белые и красные (в т. ч. шампанское),88 кКал,88 кКал,88 кКал,88 кКал
Вина полусухие белые и красные (в т. ч. шампанское),78 кКал,78 кКал,78 кКал,78 кКал
Вина сладкие белые и красные (в т. ч. шампанское),100 кКал,100 кКал,100 кКал,100 кКал
Вина сухие белые и красные (в т. ч. шампанское),64 кКал,64 кКал,64 кКал,64 кКал
"Вино,  десертное, сухое",152 кКал,152 кКал,152 кКал,152 кКал
"Вино, безалкогольное",6 кКал,6 кКал,6 кКал,6 кКал
"Вино, десертное, сладкое",160 кКал,160 кКал,160 кКал,160 кКал
"Вино, кулинарное",50 кКал,50 кКал,50 кКал,50 кКал
"Вино, легкое",49 кКал,49 кКал,49 кКал,49 кКал
"Вино, столовое, белое",82 кКал,82 кКал,82 кКал,82 кКал
"Вино, столовое, белое, Гевюрцтраминер (Gewurztraminer)",81 кКал,81 кКал,81 кКал,81 кКал
"Вино, столовое, белое, Лэйт Харвест (late harvest)",112 кКал,112 кКал,112 кКал,112 кКал
"Вино, столовое, белое, Мускат (Muscat)",82 кКал,82 кКал,82 кКал,82 кКал
"Вино, столовое, белое, Мюллер-Тургау (Muller Thurgau)",76 кКал,76 кКал,76 кКал,76 кКал
"Вино, столовое, белое, Пино Блан (Pinot Blanc)",81 кКал,81 кКал,81 кКал,81 кКал
"Вино, столовое, белое, Пино Гри (Pinot Gris (Grigio))",83 кКал,83 кКал,83 кКал,83 кКал
"Вино, столовое, белое, Рислинг (Riesling)",80 кКал,80 кКал,80 кКал,80 кКал
"Вино, столовое, белое, Семильон (Semillon)",82 кКал,82 кКал,82 кКал,82 кКал
"Вино, столовое, белое, Совиньон Блан (Sauvignon Blanc)",81 кКал,81 кКал,81 кКал,81 кКал
"Вино, столовое, белое, Фюмэ Блан (Fume Blanc)",82 кКал,82 кКал,82 кКал,82 кКал
"Вино, столовое, белое, Шенен Блан (Chenin Blanc)",80 кКал,80 кКал,80 кКал,80 кКал
"Вино, столовое, все виды",83 кКал,83 кКал,83 кКал,83 кКал
"Вино, столовое, красное",85 кКал,85 кКал,85 кКал,85 кКал
"Вино, столовое, красное, Барбера (Barbera)",85 кКал,85 кКал,85 кКал,85 кКал
"Вино, столовое, красное, Бургундское (Burgundy)",86 кКал,86 кКал,86 кКал,86 кКал
"Вино, столовое, красное, Гаме (Gamay)",78 кКал,78 кКал,78 кКал,78 кКал
"Вино, столовое, красное, Зинфандель (Zinfandel)",88 кКал,88 кКал,88 кКал,88 кКал
"Вино, столовое, красное, Каберне Фран (Cabernet Franc)",83 кКал,83 кКал,83 кКал,83 кКал
"Вино, столовое, красное, Кариньян (Carignane)",74 кКал,74 кКал,74 кКал,74 кКал
"Вино, столовое, красное, Кларет (Claret)",83 кКал,83 кКал,83 кКал,83 кКал
"Вино, столовое, красное, Лембергер (Lemberger)",80 кКал,80 кКал,80 кКал,80 кКал
"Вино, столовое, красное, Мерло (Merlot)",83 кКал,83 кКал,83 кКал,83 кКал
"Вино, столовое, красное, Мурведр (Mouvedre)",88 кКал,88 кКал,88 кКал,88 кКал
"Вино, столовое, красное, Пино Нуар (Pinot Noir)",82 кКал,82 кКал,82 кКал,82 кКал
"Вино, столовое, красное, Пти Шираз (Petite Sirah)",85 кКал,85 кКал,85 кКал,85 кКал
"Вино, столовое, красное, Санджовезе (Sangiovese)",86 кКал,86 кКал,86 кКал,86 кКал
"Вино, столовое, красное, Шираз (Syrah)",83 кКал,83 кКал,83 кКал,83 кКал
Водка,235 кКал,235 кКал,235 кКал,235 кКал
"Водка, дистиллированная, 80 градусов (40 проц. спирта)",231 кКал,231 кКал,231 кКал,231 кКал
"Дайкири, консервированный",125 кКал,125 кКал,125 кКал,125 кКал
"Дайкири, приготовленный по рецепту",186 кКал,186 кКал,186 кКал,186 кКал
"Джин, ром, водка, виски, дистиллированные, 100 градусов (50 проц. спирта)",295 кКал,295 кКал,295 кКал,295 кКал
"Джин, ром, водка, виски, дистиллированные, 80 градусов (40 проц. спирта)",231 кКал,231 кКал,231 кКал,231 кКал
"Джин, ром, водка, виски, дистиллированные, 86 градусов (43 проц. спирта)",250 кКал,250 кКал,250 кКал,250 кКал
"Джин, ром, водка, виски, дистиллированные, 90 градусов (45 проц. спирта)",263 кКал,263 кКал,263 кКал,263 кКал
"Джин, ром, водка, виски, дистиллированные, 94 градуса (47 проц. спирта)",275 кКал,275 кКал,275 кКал,275 кКал
"Коктейль, Виски Сауэр, консервированный",119 кКал,119 кКал,119 кКал,119 кКал
"Коктейль, Виски Сауэр, приготовленный из виски и воды",164 кКал,164 кКал,164 кКал,164 кКал
"Коктейль, Виски Сауэр, приготовленный из продукта N14028",153 кКал,153 кКал,153 кКал,153 кКал
"Коктейль, Виски Сауэр, приготовленный из продукта N14530",149 кКал,149 кКал,149 кКал,149 кКал
Коньяк ординарный «три звездочки»,239 кКал,239 кКал,239 кКал,239 кКал
Ликер Вишневый,299 кКал,299 кКал,299 кКал,299 кКал
"Ликер, Creme de Menthe (Мятный Крем Зеленый), 72 градуса (36 проц спирта)",371 кКал,371 кКал,371 кКал,371 кКал
"Ликер, кофе со сливками, 34 градуса (17 проц. спирта)",327 кКал,327 кКал,327 кКал,327 кКал
"Ликер, кофейный, 53 градусов (26,5 проц. спирта)",336 кКал,336 кКал,336 кКал,336 кКал
"Ликер, кофейный, 63 градуса (31,5 проц. спирта)",308 кКал,308 кКал,308 кКал,308 кКал
Наливка «Сливянка»,215 кКал,215 кКал,215 кКал,215 кКал
"Настойка горькая ""Русский сувенир""",248 кКал,248 кКал,248 кКал,248 кКал
Пиво Жигулёвское,37 кКал,37 кКал,37 кКал,37 кКал
"Пиво светлое, с долей сухих в-в в исходном сусле 11%",42 кКал,42 кКал,42 кКал,42 кКал
"Пиво светлое, с долей сухих в-в в исходном сусле 20%",75 кКал,75 кКал,75 кКал,75 кКал
"Пиво темное, с долей сухих в-в в исходном сусле 13%",48 кКал,48 кКал,48 кКал,48 кКал
"Пиво темное, с долей сухих в-в в исходном сусле 20%",74 кКал,74 кКал,74 кКал,74 кКал
"Пиво, обычное, BUDWEISER",41 кКал,41 кКал,41 кКал,41 кКал
"Пиво, обычное, все виды",43 кКал,43 кКал,43 кКал,43 кКал
"Пиво, светлое",29 кКал,29 кКал,29 кКал,29 кКал
"Пиво, светлое, BUD LIGHT",29 кКал,29 кКал,29 кКал,29 кКал
"Пиво, светлое, BUDWEISER SELECT",28 кКал,28 кКал,28 кКал,28 кКал
"Пиво, светлое, MICHELOB ULTRA",27 кКал,27 кКал,27 кКал,27 кКал
"Пинаколада, консервированная",237 кКал,237 кКал,237 кКал,237 кКал
"Пинаколада, приготовленная по рецепту",174 кКал,174 кКал,174 кКал,174 кКал
"Ром, дистиллированный, 80 градусов (40 проц. спирта)",231 кКал,231 кКал,231 кКал,231 кКал
"Саке, рисовая водка",134 кКал,134 кКал,134 кКал,134 кКал
"Текила Санрайз, консервированная",110 кКал,110 кКал,110 кКал,110 кКал
