Продукт,Калорийность,Белки,Жиры,Углеводы
Авокадо,160 кКал,160 кКал,160 кКал,160 кКал
"Авокадо, Калифорнийские, сырые",167 кКал,167 кКал,167 кКал,167 кКал
"Авокадо, Флоридские, сырые",120 кКал,120 кКал,120 кКал,120 кКал
Агава приготовленная,135 кКал,135 кКал,135 кКал,135 кКал
Агава сушеная,341 кКал,341 кКал,341 кКал,341 кКал
Агава сырая,68 кКал,68 кКал,68 кКал,68 кКал
Айсберг (салат кочанный),14 кКал,14 кКал,14 кКал,14 кКал
"Амарант листья, вареные, без соли",21 кКал,21 кКал,21 кКал,21 кКал
"Амарант листья, сырые",23 кКал,23 кКал,23 кКал,23 кКал
"Амарант, листья, вареные, с солью",21 кКал,21 кКал,21 кКал,21 кКал
Артишок,47 кКал,47 кКал,47 кКал,47 кКал
Артишок вареный с солью,51 кКал,51 кКал,51 кКал,51 кКал
"Артишок вареный, без соли",53 кКал,53 кКал,53 кКал,53 кКал
"Артишок вареный, замороженные, без соли",45 кКал,45 кКал,45 кКал,45 кКал
"Артишок замороженные, вареные, с солью",45 кКал,45 кКал,45 кКал,45 кКал
Артишок замороженный неприготовленный,38 кКал,38 кКал,38 кКал,38 кКал
"Артишок испанский, вареный, без соли",22 кКал,22 кКал,22 кКал,22 кКал
"Артишок испанский, вареный, с солью",20 кКал,20 кКал,20 кКал,20 кКал
"Артишок испанский, сырой",17 кКал,17 кКал,17 кКал,17 кКал
"Аурикулярия густоволосистая, сушеная",284 кКал,284 кКал,284 кКал,284 кКал
"Аурикулярия уховидная, сушеная",298 кКал,298 кКал,298 кКал,298 кКал
"Аурикулярия уховидная, сырая",25 кКал,25 кКал,25 кКал,25 кКал
"Базелла белая, приготовленная",23 кКал,23 кКал,23 кКал,23 кКал
Баклажан,24 кКал,24 кКал,24 кКал,24 кКал
"Баклажан, вареный, без соли",35 кКал,35 кКал,35 кКал,35 кКал
"Баклажан, вареный, с солью",33 кКал,33 кКал,33 кКал,33 кКал
"Баклажан, сырой",25 кКал,25 кКал,25 кКал,25 кКал
Баклажаны маринованные,49 кКал,49 кКал,49 кКал,49 кКал
Баклажаны фаршированные овощами по 1-266,83 кКал,83 кКал,83 кКал,83 кКал
"Бамбук, побеги вареные, с солью",11 кКал,11 кКал,11 кКал,11 кКал
"Бамбук, побеги, вареные, без соли",12 кКал,12 кКал,12 кКал,12 кКал
"Бамбук, побеги, консервированные, сухой продукт без маринада",19 кКал,19 кКал,19 кКал,19 кКал
"Бамбук, побеги, сырые",27 кКал,27 кКал,27 кКал,27 кКал
"Батат, картофель сладкий",60 кКал,60 кКал,60 кКал,60 кКал
"Батат, картофель сладкий",86 кКал,86 кКал,86 кКал,86 кКал
"Батат, картофель сладкий запеченный в кожуре, без соли",90 кКал,90 кКал,90 кКал,90 кКал
"Батат, картофель сладкий, вареный без соли",76 кКал,76 кКал,76 кКал,76 кКал
"Батат, картофель сладкий, вареный с солью",76 кКал,76 кКал,76 кКал,76 кКал
"Батат, картофель сладкий, замороженный, запеченный без соли",100 кКал,100 кКал,100 кКал,100 кКал
"Батат, картофель сладкий, замороженный, запеченный с солью",100 кКал,100 кКал,100 кКал,100 кКал
"Батат, картофель сладкий, замороженный, неприготовленный",96 кКал,96 кКал,96 кКал,96 кКал
"Батат, картофель сладкий, запеченный в кожуре, с солью",90 кКал,90 кКал,90 кКал,90 кКал
"Батат, картофель сладкий, засахаренный, домашнего приготовления",164 кКал,164 кКал,164 кКал,164 кКал
"Батат, картофель сладкий, консервированный и вакуумной упаковке",91 кКал,91 кКал,91 кКал,91 кКал
"Батат, картофель сладкий, консервированный с сиропом",89 кКал,89 кКал,89 кКал,89 кКал
"Батат, картофель сладкий, консервированный с сиропом, сухой продукт без маринада",108 кКал,108 кКал,108 кКал,108 кКал
"Батат, картофель сладкий, листья, приготовленные на пару, без соли",35 кКал,35 кКал,35 кКал,35 кКал
"Батат, картофель сладкий, листья, приготовленные на пару, с солью",35 кКал,35 кКал,35 кКал,35 кКал
"Батат, картофель сладкий, листья, сырые",42 кКал,42 кКал,42 кКал,42 кКал
"Батат, картофель сладкий, пюре, консервированный",101 кКал,101 кКал,101 кКал,101 кКал
"Белокопытник , вареный, без соли",8 кКал,8 кКал,8 кКал,8 кКал
"Белокопытник японский, сырой",14 кКал,14 кКал,14 кКал,14 кКал
"Белокопытник, вареный, с солью",8 кКал,8 кКал,8 кКал,8 кКал
"Белокопытник, консервированный",3 кКал,3 кКал,3 кКал,3 кКал
"Бок-чой (пак-чой, китайская капуста)",13 кКал,13 кКал,13 кКал,13 кКал
"Бок-чой (пак-чой, китайская капуста) вареная, без соли",12 кКал,12 кКал,12 кКал,12 кКал
"Бок-чой (пак-чой, китайская капуста) вареная, с солью",12 кКал,12 кКал,12 кКал,12 кКал
Брокколи,34 кКал,34 кКал,34 кКал,34 кКал
"Брокколи китайская, приготовленная",22 кКал,22 кКал,22 кКал,22 кКал
"Брокколи, вареная, без соли",35 кКал,35 кКал,35 кКал,35 кКал
"Брокколи, вареная, с солью",35 кКал,35 кКал,35 кКал,35 кКал
"Брокколи, ветви, замороженная, вареная, с солью",28 кКал,28 кКал,28 кКал,28 кКал
"Брокколи, замороженная, вареная с солью",28 кКал,28 кКал,28 кКал,28 кКал
"Брокколи, замороженная, вареная, без соли",28 кКал,28 кКал,28 кКал,28 кКал
"Брокколи, замороженная, неприготовленная",26 кКал,26 кКал,26 кКал,26 кКал
"Брокколи, листья, сырая",28 кКал,28 кКал,28 кКал,28 кКал
"Брокколи, побеги, замороженные, вареные, без соли",28 кКал,28 кКал,28 кКал,28 кКал
"Брокколи, побеги, замороженные, неприготовленные",29 кКал,29 кКал,29 кКал,29 кКал
"Брокколи, стебель, сырая",28 кКал,28 кКал,28 кКал,28 кКал
"Брокколи, цветы, сырая",28 кКал,28 кКал,28 кКал,28 кКал
Брюква,37 кКал,37 кКал,37 кКал,37 кКал
Брюква припущенная по 1-214,54 кКал,54 кКал,54 кКал,54 кКал
"Брюква, вареная, без соли",30 кКал,30 кКал,30 кКал,30 кКал
"Брюква, вареная, с солью",30 кКал,30 кКал,30 кКал,30 кКал
"Брюква, сырая",37 кКал,37 кКал,37 кКал,37 кКал
Брюссельская капуста,35 кКал,35 кКал,35 кКал,35 кКал
"Брюссельская капуста, вареная, без соли",36 кКал,36 кКал,36 кКал,36 кКал
"Брюссельская капуста, вареная, с солью",36 кКал,36 кКал,36 кКал,36 кКал
"Брюссельская капуста, замороженная, вареная, без соли",42 кКал,42 кКал,42 кКал,42 кКал
"Брюссельская капуста, замороженная, вареная, с солью",42 кКал,42 кКал,42 кКал,42 кКал
"Брюссельская капуста, замороженная, неприготовленная",41 кКал,41 кКал,41 кКал,41 кКал
"Брюссельская капуста, сырая",43 кКал,43 кКал,43 кКал,43 кКал
"Валерианелла, сырая",21 кКал,21 кКал,21 кКал,21 кКал
"Вассаби, корень, сырой",109 кКал,109 кКал,109 кКал,109 кКал
"Виноградные листья, консервированные",69 кКал,69 кКал,69 кКал,69 кКал
"Виноградные листья, сырые",93 кКал,93 кКал,93 кКал,93 кКал
Водный шпинат (болотная капуста),19 кКал,19 кКал,19 кКал,19 кКал
"Водный шпинат (болотная капуста) вареный, без соли",20 кКал,20 кКал,20 кКал,20 кКал
"Водный шпинат (болотная капуста) вареный, с солью",20 кКал,20 кКал,20 кКал,20 кКал
Водяной кресс (жеруха),11 кКал,11 кКал,11 кКал,11 кКал
"Восковая тыква, вареная, без соли",14 кКал,14 кКал,14 кКал,14 кКал
"Восковая тыква, вареная, с солью",11 кКал,11 кКал,11 кКал,11 кКал
"Восковая тыква, сырая",13 кКал,13 кКал,13 кКал,13 кКал
Голубцы овощные по 1-256,95 кКал,95 кКал,95 кКал,95 кКал
"Горох и лук, замороженные, вареные, без соли",45 кКал,45 кКал,45 кКал,45 кКал
"Горох и лук, замороженные, вареные, с солью",45 кКал,45 кКал,45 кКал,45 кКал
"Горох и лук, замороженные, неприготовленные",70 кКал,70 кКал,70 кКал,70 кКал
"Горох и лук, консервированные",51 кКал,51 кКал,51 кКал,51 кКал
"Горох и морковь, замороженные, вареные, без соли",48 кКал,48 кКал,48 кКал,48 кКал
"Горох и морковь, замороженные, вареные, с солью",48 кКал,48 кКал,48 кКал,48 кКал
"Горох и морковь, замороженные, неприготовленные",53 кКал,53 кКал,53 кКал,53 кКал
"Горох и морковь, консервированные, без добавления соли",38 кКал,38 кКал,38 кКал,38 кКал
"Горох и морковь, консервированные, стандартная упаковка",38 кКал,38 кКал,38 кКал,38 кКал
"Горчица листовая, вареная, без соли",26 кКал,26 кКал,26 кКал,26 кКал
"Горчица листовая, вареная, с солью",26 кКал,26 кКал,26 кКал,26 кКал
"Горчица листовая, замороженная, вареная, без соли",19 кКал,19 кКал,19 кКал,19 кКал
"Горчица листовая, замороженная, вареная, с солью",19 кКал,19 кКал,19 кКал,19 кКал
"Горчица листовая, замороженная, неприготовленная",20 кКал,20 кКал,20 кКал,20 кКал
"Горчица листовая, сырая",27 кКал,27 кКал,27 кКал,27 кКал
"Горчица шпинатная, вареная, без соли",16 кКал,16 кКал,16 кКал,16 кКал
"Горчица шпинатная, вареная, с солью",16 кКал,16 кКал,16 кКал,16 кКал
"Горчица шпинатная, сырая",22 кКал,22 кКал,22 кКал,22 кКал
Гратен из картофеля,134 кКал,134 кКал,134 кКал,134 кКал
"Гратен из картофеля, домашнего приготовления по рецепту с добавлением маргарина",132 кКал,132 кКал,132 кКал,132 кКал
"Гратен из картофеля, сухая смесь, неприготовленный",314 кКал,314 кКал,314 кКал,314 кКал
"Гратен из картофеля, сухая смесь, приготовленный с добавлением воды, молока и масла",93 кКал,93 кКал,93 кКал,93 кКал
