Продукт,Калорийность,Белки,Жиры,Углеводы
"Абрикос, семя костянки",520 кКал,520 кКал,520 кКал,520 кКал
"Арбуз, ядра семян, сушеные",557 кКал,557 кКал,557 кКал,557 кКал
Бразильский орех,659 кКал,659 кКал,659 кКал,659 кКал
"Буковый орешек, сушеный",576 кКал,576 кКал,576 кКал,576 кКал
"Вишня, семя костянки",362 кКал,362 кКал,362 кКал,362 кКал
"Горчица, семя",474 кКал,474 кКал,474 кКал,474 кКал
Горчичный порошок,378 кКал,378 кКал,378 кКал,378 кКал
Грецкий орех,654 кКал,654 кКал,654 кКал,654 кКал
Грецкий орех,656 кКал,656 кКал,656 кКал,656 кКал
"Грецкий орех черный, сушеный",619 кКал,619 кКал,619 кКал,619 кКал
"Грецкий орех, глазированный",500 кКал,500 кКал,500 кКал,500 кКал
"Грецкий орех, сухая обжарка, с солью",643 кКал,643 кКал,643 кКал,643 кКал
Желудевая мука,501 кКал,501 кКал,501 кКал,501 кКал
Желуди сушеные,509 кКал,509 кКал,509 кКал,509 кКал
Желуди сырые,387 кКал,387 кКал,387 кКал,387 кКал
Какао тертое,559 кКал,559 кКал,559 кКал,559 кКал
Какао-бобы,530 кКал,530 кКал,530 кКал,530 кКал
Каштан европейский вареный и тушеный,131 кКал,131 кКал,131 кКал,131 кКал
"Каштан европейский не чищеный, сушеный",374 кКал,374 кКал,374 кКал,374 кКал
"Каштан европейский не чищеный, сырой",213 кКал,213 кКал,213 кКал,213 кКал
"Каштан европейский чищеный, сушеный",369 кКал,369 кКал,369 кКал,369 кКал
"Каштан европейский чищеный, сырой",196 кКал,196 кКал,196 кКал,196 кКал
"Каштан европейский, запечённый",245 кКал,245 кКал,245 кКал,245 кКал
"Каштан китайский, вареный и тушеный",153 кКал,153 кКал,153 кКал,153 кКал
"Каштан китайский, запечённый",239 кКал,239 кКал,239 кКал,239 кКал
"Каштан китайский, сушеный",363 кКал,363 кКал,363 кКал,363 кКал
"Каштан китайский, сырой",224 кКал,224 кКал,224 кКал,224 кКал
Каштан японский,154 кКал,154 кКал,154 кКал,154 кКал
"Каштан японский, запечённый",201 кКал,201 кКал,201 кКал,201 кКал
"Каштан японский, приготовленный на пару",56 кКал,56 кКал,56 кКал,56 кКал
"Каштан японский, сушеный",360 кКал,360 кКал,360 кКал,360 кКал
"Кедровый орех пиния, сушеный",629 кКал,629 кКал,629 кКал,629 кКал
"Кедровый орех, поджаренный, (Навахо)",541 кКал,541 кКал,541 кКал,541 кКал
"Кедровый орех, сушеный",673 кКал,673 кКал,673 кКал,673 кКал
Кешью,600 кКал,600 кКал,600 кКал,600 кКал
"Кешью, жареный в масле без соли",580 кКал,580 кКал,580 кКал,580 кКал
"Кешью, жареный в масле, с солью",581 кКал,581 кКал,581 кКал,581 кКал
"Кешью, сухая обжарка без соли",574 кКал,574 кКал,574 кКал,574 кКал
"Кешью, сухая обжарка, с солью",574 кКал,574 кКал,574 кКал,574 кКал
"Кешью, сырой",553 кКал,553 кКал,553 кКал,553 кКал
"Кокос, мякоть сушеная, дробленая, подслащенная",501 кКал,501 кКал,501 кКал,501 кКал
"Кокос, мякоть сушеная, не подслащенная",660 кКал,660 кКал,660 кКал,660 кКал
"Кокос, мякоть сушеная, поджаренная",592 кКал,592 кКал,592 кКал,592 кКал
"Кокос, мякоть, сырая",354 кКал,354 кКал,354 кКал,354 кКал
Кокосовая вода,19 кКал,19 кКал,19 кКал,19 кКал
"Кокосовая паста из свежей мякоти, подслащенная, консервированная",357 кКал,357 кКал,357 кКал,357 кКал
