Продукт,Калорийность,Белки,Жиры,Углеводы
Фарш грибной,"353,1 кКал","353,1 кКал","353,1 кКал","353,1 кКал"
Фарш из зеленого лука с яйцом,"89,1 кКал","89,1 кКал","89,1 кКал","89,1 кКал"
Фарш из картофеля и свинины,"260,3 кКал","260,3 кКал","260,3 кКал","260,3 кКал"
Фарш из квашеной капусты,"53,8 кКал","53,8 кКал","53,8 кКал","53,8 кКал"
Фарш из рыбы и капусты,"181,2 кКал","181,2 кКал","181,2 кКал","181,2 кКал"
Фарш из рыбы и картофеля,"176,3 кКал","176,3 кКал","176,3 кКал","176,3 кКал"
Фарш из рыбы и яиц,"206,2 кКал","206,2 кКал","206,2 кКал","206,2 кКал"
Фарш из свежей капусты,"97,8 кКал","97,8 кКал","97,8 кКал","97,8 кКал"
Фарш картофельный с грибами или луком (1-й вариант),"148,6 кКал","148,6 кКал","148,6 кКал","148,6 кКал"
Фарш ливерный с кашей,"380,5 кКал","380,5 кКал","380,5 кКал","380,5 кКал"
Фарш морковный,"91,3 кКал","91,3 кКал","91,3 кКал","91,3 кКал"
Фарш морковный с рисом,188 кКал,188 кКал,188 кКал,188 кКал
Фарш морковный с яйцом,"128,9 кКал","128,9 кКал","128,9 кКал","128,9 кКал"
Фарш мясной с рисом и яйцом,"362,7 кКал","362,7 кКал","362,7 кКал","362,7 кКал"
Фарш рисовый с грибами,"366,2 кКал","366,2 кКал","366,2 кКал","366,2 кКал"
Фарш рисовый с яйцом,"352,9 кКал","352,9 кКал","352,9 кКал","352,9 кКал"
Фарш рыбный,"286,2 кКал","286,2 кКал","286,2 кКал","286,2 кКал"
Фарш рыбный с рисом,"291,7 кКал","291,7 кКал","291,7 кКал","291,7 кКал"
Фарш рыбный с рисом и визигой,"241,4 кКал","241,4 кКал","241,4 кКал","241,4 кКал"
"Фарш творожный (для ватрушек, пирожков и вареников)","266,4 кКал","266,4 кКал","266,4 кКал","266,4 кКал"
Фарш яблочный,"149,1 кКал","149,1 кКал","149,1 кКал","149,1 кКал"
