Продукт,Калорийность,Белки,Жиры,Углеводы
"Биточки паровые из курицы, по 2-24",176 кКал,176 кКал,176 кКал,176 кКал
"Брикет из куриного мяса, замороженный, неприготовленный",292 кКал,292 кКал,292 кКал,292 кКал
"Брикет из куриного мяса, замороженный, приготовленный",287 кКал,287 кКал,287 кКал,287 кКал
Бульон куриный,36 кКал,36 кКал,36 кКал,36 кКал
"Ветчина из индейки, темное мясо, копченая, замороженная",118 кКал,118 кКал,118 кКал,118 кКал
"Голубь, приготовленный (включая голубят)",213 кКал,213 кКал,213 кКал,213 кКал
"Голубь, птенцы",294 кКал,294 кКал,294 кКал,294 кКал
"Голубь, птенцы, белое мясо без кожи",134 кКал,134 кКал,134 кКал,134 кКал
"Голубь, птенцы, только мясо",142 кКал,142 кКал,142 кКал,142 кКал
Грудка цыпленка-бройлера (филе),116 кКал,116 кКал,116 кКал,116 кКал
Гусь 1 кат.,412 кКал,412 кКал,412 кКал,412 кКал
Гусь 2 кат.,317 кКал,317 кКал,317 кКал,317 кКал
Гусь домашний,371 кКал,371 кКал,371 кКал,371 кКал
"Гусь домашний, запечённый",305 кКал,305 кКал,305 кКал,305 кКал
"Гусь домашний, только мясо",161 кКал,161 кКал,161 кКал,161 кКал
"Гусь домашний, только мясо, запечённый",238 кКал,238 кКал,238 кКал,238 кКал
Гусята 1 кат.,326 кКал,326 кКал,326 кКал,326 кКал
Гусята 2 кат.,208 кКал,208 кКал,208 кКал,208 кКал
"Домашняя птица, мясо  механической обвалки со спинок и шеек без кожи, сырое",199 кКал,199 кКал,199 кКал,199 кКал
"Домашняя птица, мясо зрелых индеек, без костей, сырое",243 кКал,243 кКал,243 кКал,243 кКал
"Домашняя птица, мясо механической обвалки со спинок и шеек с кожей, сырое",272 кКал,272 кКал,272 кКал,272 кКал
Желудки индейки,111 кКал,111 кКал,111 кКал,111 кКал
"Желудки индейки, вареные на медленном огне",155 кКал,155 кКал,155 кКал,155 кКал
Желудки куриные,94 кКал,94 кКал,94 кКал,94 кКал
"Желудки куриные, вареные на медленном огне",154 кКал,154 кКал,154 кКал,154 кКал
Желудок куриный,130 кКал,130 кКал,130 кКал,130 кКал
Желудок цыпленка бройлера,122 кКал,122 кКал,122 кКал,122 кКал
Индейка,144 кКал,144 кКал,144 кКал,144 кКал
Индейка 1 кат.,276 кКал,276 кКал,276 кКал,276 кКал
Индейка 2 кат.,194 кКал,194 кКал,194 кКал,194 кКал
"Индейка для тако, замороженная, приготовленная",148 кКал,148 кКал,148 кКал,148 кКал
"Индейка с подливкой, замороженная",67 кКал,67 кКал,67 кКал,67 кКал
"Индейка, бедра, предварительно замаринованные, запечённые",157 кКал,157 кКал,157 кКал,157 кКал
"Индейка, бедро, мясо с кожей",161 кКал,161 кКал,161 кКал,161 кКал
"Индейка, бедро, мясо с кожей, запечённое",183 кКал,183 кКал,183 кКал,183 кКал
"Индейка, бедро, только мясо",116 кКал,116 кКал,116 кКал,116 кКал
"Индейка, бедро, только мясо, запечённое",159 кКал,159 кКал,159 кКал,159 кКал
"Индейка, белое и темное мясо нарезанное, приправленное",138 кКал,138 кКал,138 кКал,138 кКал
"Индейка, белое или темное мясо без кожи, копченое",162 кКал,162 кКал,162 кКал,162 кКал
"Индейка, белое или темное мясо с кожей, копченое",208 кКал,208 кКал,208 кКал,208 кКал
"Индейка, белое мясо",114 кКал,114 кКал,114 кКал,114 кКал
"Индейка, белое мясо с кожей",161 кКал,161 кКал,161 кКал,161 кКал
"Индейка, белое мясо с кожей, запечённая",177 кКал,177 кКал,177 кКал,177 кКал
"Индейка, белое мясо, запечённая",147 кКал,147 кКал,147 кКал,147 кКал
"Индейка, голень копчёная",200 кКал,200 кКал,200 кКал,200 кКал
"Индейка, голень, мясо с кожей",141 кКал,141 кКал,141 кКал,141 кКал
"Индейка, голень, мясо с кожей, запечённая",197 кКал,197 кКал,197 кКал,197 кКал
"Индейка, голень, только мясо",118 кКал,118 кКал,118 кКал,118 кКал
"Индейка, голень, только мясо, запечённая",173 кКал,173 кКал,173 кКал,173 кКал
"Индейка, грудка с кожей",157 кКал,157 кКал,157 кКал,157 кКал
"Индейка, грудка с кожей, запечённая",189 кКал,189 кКал,189 кКал,189 кКал
"Индейка, грудка с кожей, предварительно замаринованная, запечённая",126 кКал,126 кКал,126 кКал,126 кКал
"Индейка, грудка, только мясо",114 кКал,114 кКал,114 кКал,114 кКал
"Индейка, грудка, только мясо, запечённая",147 кКал,147 кКал,147 кКал,147 кКал
"Индейка, жареная, по 2-16",280 кКал,280 кКал,280 кКал,280 кКал
"Индейка, жаркое, белое и темное мясо без костей, приправленное, замороженное",120 кКал,120 кКал,120 кКал,120 кКал
"Индейка, жаркое, белое и темное мясо без костей, приправленное, замороженное, запечённое",155 кКал,155 кКал,155 кКал,155 кКал
"Индейка, запечённая",189 кКал,189 кКал,189 кКал,189 кКал
"Индейка, крылышки",197 кКал,197 кКал,197 кКал,197 кКал
"Индейка, крылышки, запечённые",229 кКал,229 кКал,229 кКал,229 кКал
"Индейка, крылышки, копченые",221 кКал,221 кКал,221 кКал,221 кКал
"Индейка, крылышки, только мясо",115 кКал,115 кКал,115 кКал,115 кКал
"Индейка, крылышки, только мясо, запечённые",147 кКал,147 кКал,147 кКал,147 кКал
"Индейка, мясо механически отделённое от костей",201 кКал,201 кКал,201 кКал,201 кКал
"Индейка, окорочка",144 кКал,144 кКал,144 кКал,144 кКал
"Индейка, окорочка, запечённые",208 кКал,208 кКал,208 кКал,208 кКал
"Индейка, отварная, по 2-6",273 кКал,273 кКал,273 кКал,273 кКал
"Индейка, потроха",124 кКал,124 кКал,124 кКал,124 кКал
"Индейка, потроха и шейки",157 кКал,157 кКал,157 кКал,157 кКал
"Индейка, потроха и шейки,  запечённые",205 кКал,205 кКал,205 кКал,205 кКал
"Индейка, потроха, вареные на медленном огне",173 кКал,173 кКал,173 кКал,173 кКал
"Индейка, спинка",196 кКал,196 кКал,196 кКал,196 кКал
"Индейка, спинка, запечённая",244 кКал,244 кКал,244 кКал,244 кКал
"Индейка, спинки, только мясо",113 кКал,113 кКал,113 кКал,113 кКал
"Индейка, спинки, только мясо, запечённые",173 кКал,173 кКал,173 кКал,173 кКал
"Индейка, темное мясо",108 кКал,108 кКал,108 кКал,108 кКал
"Индейка, темное мясо с кожей",166 кКал,166 кКал,166 кКал,166 кКал
"Индейка, темное мясо с кожей,  запечённое",206 кКал,206 кКал,206 кКал,206 кКал
"Индейка, темное мясо, запечённое",173 кКал,173 кКал,173 кКал,173 кКал
"Индейка, только кожа",407 кКал,407 кКал,407 кКал,407 кКал
"Индейка, только кожа, запечённая",459 кКал,459 кКал,459 кКал,459 кКал
"Индейка, только мясо",115 кКал,115 кКал,115 кКал,115 кКал
"Индейка, только мясо, запечённая",159 кКал,159 кКал,159 кКал,159 кКал
"Индейка, только мясо, консервированное в бульоне",169 кКал,169 кКал,169 кКал,169 кКал
"Индейка, цыплята",134 кКал,134 кКал,134 кКал,134 кКал
"Индейка, цыплята, белое мясо",108 кКал,108 кКал,108 кКал,108 кКал
