Продукт,Калорийность,Белки,Жиры,Углеводы
"DENNY'S, стейк-филе",182 кКал,182 кКал,182 кКал,182 кКал
"Говядина, с овощами, Китайский ресторан",105 кКал,105 кКал,105 кКал,105 кКал
"Курица в лимоне, Китайский ресторан",252 кКал,252 кКал,252 кКал,252 кКал
"Курица, Цыпленок, ""Кунг-Пао"", Китайский ресторан",129 кКал,129 кКал,129 кКал,129 кКал
"Ресторан-магазин Cracker Barrel, картофель фри",255 кКал,255 кКал,255 кКал,255 кКал
"Ресторан-магазин Cracker Barrel, креветки, жаренные по деревенски, тарелка",287 кКал,287 кКал,287 кКал,287 кКал
"Ресторан-магазин Cracker Barrel, куриное филе, тарелка, жареное, детское меню",294 кКал,294 кКал,294 кКал,294 кКал
"Ресторан-магазин Cracker Barrel, макароны с сыром, тарелка, детское меню",192 кКал,192 кКал,192 кКал,192 кКал
"Ресторан-магазин Cracker Barrel, сом, разводимый, тарелка",266 кКал,266 кКал,266 кКал,266 кКал
"Ресторан-магазин Cracker Barrel, стейк-филе, (бифштекс), гриль",203 кКал,203 кКал,203 кКал,203 кКал
"Ресторан,  семейный стиль, стейк-филе",186 кКал,186 кКал,186 кКал,186 кКал
"Ресторан, APPLEBEE'S, 9 унцевый домашний стейк-филе",189 кКал,189 кКал,189 кКал,189 кКал
"Ресторан, APPLEBEE'S, KRAFT, макароны с сыром, детское меню",143 кКал,143 кКал,143 кКал,143 кКал
"Ресторан, APPLEBEE'S, дважды хрустящие креветки ( Double Crunch Shrimp)",323 кКал,323 кКал,323 кКал,323 кКал
"Ресторан, APPLEBEE'S, картофель фри",290 кКал,290 кКал,290 кКал,290 кКал
"Ресторан, APPLEBEE'S, куриные палочки, детское меню",296 кКал,296 кКал,296 кКал,296 кКал
"Ресторан, APPLEBEE'S, сырные палочки (моцарелла)",316 кКал,316 кКал,316 кКал,316 кКал
"Ресторан, DENNY'S, MOONS & STARS куриные наггетсы, детское меню",377 кКал,377 кКал,377 кКал,377 кКал
"Ресторан, DENNY'S, золотые жареные креветки",277 кКал,277 кКал,277 кКал,277 кКал
"Ресторан, DENNY'S, картофель фри",282 кКал,282 кКал,282 кКал,282 кКал
"Ресторан, DENNY'S, макароны с сыром, детское меню",150 кКал,150 кКал,150 кКал,150 кКал
"Ресторан, DENNY'S, сырные палочки (моцарелла)",324 кКал,324 кКал,324 кКал,324 кКал
"Ресторан, Латино, Аррос Кон Грэндулс, (рис и горох)",182 кКал,182 кКал,182 кКал,182 кКал
"Ресторан, Латино, Аррос Кон Лече, (рисовый пуддинг)",146 кКал,146 кКал,146 кКал,146 кКал
"Ресторан, Латино, Аррос Кон Фрайджолс Негро, (рис и черная фасоль)",151 кКал,151 кКал,151 кКал,151 кКал
"Ресторан, Латино, Аррос Кон Хэбичуелас Колорадо, (рис и красная фасоль)",142 кКал,142 кКал,142 кКал,142 кКал
"Ресторан, Латино, курица с рисом, блюдо, приготовленные",174 кКал,174 кКал,174 кКал,174 кКал
"Ресторан, Латино, эмпанадас, говядина, приготовленные",335 кКал,335 кКал,335 кКал,335 кКал
"Ресторан, семейный стиль, жаренные сырные палочки (моцарелла)",325 кКал,325 кКал,325 кКал,325 кКал
"Ресторан, семейный стиль, картофель фри",289 кКал,289 кКал,289 кКал,289 кКал
"Ресторан, семейный стиль, креветки, жареные в панировке",308 кКал,308 кКал,308 кКал,308 кКал
"Ресторан, семейный стиль, куриные палочки, детское меню",307 кКал,307 кКал,307 кКал,307 кКал
"Ресторан, семейный стиль, макароны с сыром, детское меню",151 кКал,151 кКал,151 кКал,151 кКал
"Рис, жареный, Китайский ресторан",174 кКал,174 кКал,174 кКал,174 кКал
"Рулеты яичные, ассорти, Китайский ресторан",250 кКал,250 кКал,250 кКал,250 кКал
