Продукт,Калорийность,Белки,Жиры,Углеводы
Акула катран,143 кКал,143 кКал,143 кКал,143 кКал
"Акула, все виды, приготовленная, обжаренная в панировке",228 кКал,228 кКал,228 кКал,228 кКал
"Акула, все виды, сырая",130 кКал,130 кКал,130 кКал,130 кКал
Альбула,106 кКал,106 кКал,106 кКал,106 кКал
Анчоус атлантический,135 кКал,135 кКал,135 кКал,135 кКал
"Анчоус европейский, консервированный в масле, сухой продукт без маринада",210 кКал,210 кКал,210 кКал,210 кКал
"Анчоус европейский, сырой",131 кКал,131 кКал,131 кКал,131 кКал
Аргентина,88 кКал,88 кКал,88 кКал,88 кКал
"Асцидия, (tunughnak), (Аляска)",20 кКал,20 кКал,20 кКал,20 кКал
Балык осетровый вяленый,177 кКал,177 кКал,177 кКал,177 кКал
Балык осетровый холодного копчения,194 кКал,194 кКал,194 кКал,194 кКал
"Барабулька, приготовленная на жару",150 кКал,150 кКал,150 кКал,150 кКал
"Барабулька, сырая",117 кКал,117 кКал,117 кКал,117 кКал
"Баттерфиш, весенне-летняя",140 кКал,140 кКал,140 кКал,140 кКал
"Баттерфиш, осенне-зимняя",201 кКал,201 кКал,201 кКал,201 кКал
"Белая рыба, все виды",134 кКал,134 кКал,134 кКал,134 кКал
"Белая рыба, все виды, копченая",108 кКал,108 кКал,108 кКал,108 кКал
"Белая рыба, все виды, приготовленная на жару",172 кКал,172 кКал,172 кКал,172 кКал
Белоглазка аральская холодного копчения,244 кКал,244 кКал,244 кКал,244 кКал
"Белоглазка, аральская",144 кКал,144 кКал,144 кКал,144 кКал
"Белоглазка, волго-каспийская",92 кКал,92 кКал,92 кКал,92 кКал
Белорыбица,274 кКал,274 кКал,274 кКал,274 кКал
Белуга бланшированная консервированная,234 кКал,234 кКал,234 кКал,234 кКал
"Белуга, глаза (Аляска)",291 кКал,291 кКал,291 кКал,291 кКал
"Бельдюга американская, приготовленная на жару",102 кКал,102 кКал,102 кКал,102 кКал
"Бельдюга американская, сырая",79 кКал,79 кКал,79 кКал,79 кКал
Бельдюга океаническая,89 кКал,89 кКал,89 кКал,89 кКал
Берикс,88 кКал,88 кКал,88 кКал,88 кКал
Бесуго,145 кКал,145 кКал,145 кКал,145 кКал
Боковник белужий холодного копчения,228 кКал,228 кКал,228 кКал,228 кКал
Большеголов,94 кКал,94 кКал,94 кКал,94 кКал
Большеголов атлантический,76 кКал,76 кКал,76 кКал,76 кКал
"Большеголов атлантический, приготовленный на жару",105 кКал,105 кКал,105 кКал,105 кКал
Бульон рыбный,17 кКал,17 кКал,17 кКал,17 кКал
"Бычки в томатном соусе, консервы",145 кКал,145 кКал,145 кКал,145 кКал
Бычок-песочник,70 кКал,70 кКал,70 кКал,70 кКал
Вобла,95 кКал,95 кКал,95 кКал,95 кКал
Вобла каспийская вяленая,235 кКал,235 кКал,235 кКал,235 кКал
Вобла холодного копчения,181 кКал,181 кКал,181 кКал,181 кКал
"Галиотис, все виды, жареный",189 кКал,189 кКал,189 кКал,189 кКал
"Галиотис, все виды, сырой",105 кКал,105 кКал,105 кКал,105 кКал
"Галки из трески, по 1-388",87 кКал,87 кКал,87 кКал,87 кКал
"Гирелла, черный каменный окунь, сырой, (Аляска)",82 кКал,82 кКал,82 кКал,82 кКал
Гладкоголов,49 кКал,49 кКал,49 кКал,49 кКал
Горбуша,140 кКал,140 кКал,140 кКал,140 кКал
Горбуша в томатном соусе. Консервы,130 кКал,130 кКал,130 кКал,130 кКал
Горбуша натуральная. Консервы,136 кКал,136 кКал,136 кКал,136 кКал
"Горбуша отварная, по 1-342",152 кКал,152 кКал,152 кКал,152 кКал
Горбуша соленая,169 кКал,169 кКал,169 кКал,169 кКал
"Горбуша, консервированная без соли, с маринадом и костями",139 кКал,139 кКал,139 кКал,139 кКал
"Горбуша, консервированная, содержимое без жидкости",138 кКал,138 кКал,138 кКал,138 кКал
"Горбуша, консервированная, содержимое без жидкости, без кожи и костей",136 кКал,136 кКал,136 кКал,136 кКал
"Горбуша, приготовленная на жару",153 кКал,153 кКал,153 кКал,153 кКал
"Горбуша, с костями, консервированная",129 кКал,129 кКал,129 кКал,129 кКал
"Горбуша, сырая",127 кКал,127 кКал,127 кКал,127 кКал
"Горбыль волнистый, жареный в панировке",221 кКал,221 кКал,221 кКал,221 кКал
"Горбыль волнистый, сырой",104 кКал,104 кКал,104 кКал,104 кКал
"Горбыль, приготовленный на жару",153 кКал,153 кКал,153 кКал,153 кКал
"Горбыль, сырой",119 кКал,119 кКал,119 кКал,119 кКал
Гребешок,69 кКал,69 кКал,69 кКал,69 кКал
"Гребешок, искусственный из сурими",99 кКал,99 кКал,99 кКал,99 кКал
"Гребешок, обжаренный в панировке",216 кКал,216 кКал,216 кКал,216 кКал
"Гребешок, приготовленный на пару",111 кКал,111 кКал,111 кКал,111 кКал
"Групер, все виды, приготовленный на жару",118 кКал,118 кКал,118 кКал,118 кКал
"Групер, все виды, сырой",92 кКал,92 кКал,92 кКал,92 кКал
Джакас,120 кКал,120 кКал,120 кКал,120 кКал
"Дночерпатель,все виды, приготовленный на жару",128 кКал,128 кКал,128 кКал,128 кКал
"Дночерпатель,все виды, сырой",100 кКал,100 кКал,100 кКал,100 кКал
