Продукт,Калорийность,Белки,Жиры,Углеводы
"HORMEL ALWAYS TENDER, свинина, верхняя часть филе(без костей) с лимонно-чесночным ароматом",118 кКал,118 кКал,118 кКал,118 кКал
"HORMEL ALWAYS TENDER, свинина, свежая, верхняя часть филе с костью",167 кКал,167 кКал,167 кКал,167 кКал
"HORMEL ALWAYS TENDER, свинина, свежая, филе без костей",145 кКал,145 кКал,145 кКал,145 кКал
"HORMEL ALWAYS TENDER, свинина, средняя часть филе с араматом черного перца",110 кКал,110 кКал,110 кКал,110 кКал
"HORMEL ALWAYS TENDER, свинина, филе с ароматом терияки.",119 кКал,119 кКал,119 кКал,119 кКал
"HORMEL, бекон ""по- канадски""",122 кКал,122 кКал,122 кКал,122 кКал
"HORMEL, свинина мокрого посола, ветчина",106 кКал,106 кКал,106 кКал,106 кКал
Бекон,393 кКал,393 кКал,393 кКал,393 кКал
"Бекон слабосолёный, приготовленный",541 кКал,541 кКал,541 кКал,541 кКал
"Бекон, жареный на сковороде",468 кКал,468 кКал,468 кКал,468 кКал
"Бекон, канадский",110 кКал,110 кКал,110 кКал,110 кКал
"Бекон, печеный",548 кКал,548 кКал,548 кКал,548 кКал
"Бекон, разогретый в микроволновой печи",476 кКал,476 кКал,476 кКал,476 кКал
"Ветчина в собственном соку, верхняя часть окорока на кости",200 кКал,200 кКал,200 кКал,200 кКал
"Ветчина в собственном соку, верхняя часть окорока на кости, запечённая",177 кКал,177 кКал,177 кКал,177 кКал
"Ветчина в собственном соку, верхняя часть окорока на кости, постное мясо",122 кКал,122 кКал,122 кКал,122 кКал
"Ветчина в собственном соку, верхняя часть окорока на кости, постное мясо, запечённая",137 кКал,137 кКал,137 кКал,137 кКал
"Ветчина в собственном соку, нарезаная по спирали, постное мясо",109 кКал,109 кКал,109 кКал,109 кКал
"Ветчина в собственном соку, нарезанная по спирали",129 кКал,129 кКал,129 кКал,129 кКал
"Ветчина в собственном соку, нарезанная по спирали, запечённая",139 кКал,139 кКал,139 кКал,139 кКал
"Ветчина в собственном соку, нарезанная по спирали, постное мясо, запечённая",126 кКал,126 кКал,126 кКал,126 кКал
"Ветчина в собственном соку, нарезка на кости",159 кКал,159 кКал,159 кКал,159 кКал
"Ветчина в собственном соку, нарезка на кости, жареная на сковороде",118 кКал,118 кКал,118 кКал,118 кКал
"Ветчина в собственном соку, нарезка на кости, постное мясо",123 кКал,123 кКал,123 кКал,123 кКал
"Ветчина в собственном соку, нарезка на кости, постное мясо, жареная на сковороде",150 кКал,150 кКал,150 кКал,150 кКал
"Ветчина в собственном соку, нарезка на кости,, обжаренная",180 кКал,180 кКал,180 кКал,180 кКал
"Ветчина в собственном соку, нарезка, постное мясо,  жареная на сковороде",116 кКал,116 кКал,116 кКал,116 кКал
"Ветчина в собственном соку, окорок в целом",112 кКал,112 кКал,112 кКал,112 кКал
"Ветчина в собственном соку, окорок в целом, запечённая",114 кКал,114 кКал,114 кКал,114 кКал
"Ветчина в собственном соку, окорок в целом, постное мясо",111 кКал,111 кКал,111 кКал,111 кКал
"Ветчина в собственном соку, окорок в целом, постное мясо, запечённая",113 кКал,113 кКал,113 кКал,113 кКал
"Ветчина в собственном соку, рулька",191 кКал,191 кКал,191 кКал,191 кКал
"Ветчина в собственном соку, рулька, запечённая",191 кКал,191 кКал,191 кКал,191 кКал
"Ветчина в собственном соку, рулька, постное мясо",130 кКал,130 кКал,130 кКал,130 кКал
"Ветчина в собственном соку, рулька, постное мясо, запечённая",145 кКал,145 кКал,145 кКал,145 кКал
Ветчина консервированная,144 кКал,144 кКал,144 кКал,144 кКал
"Ветчина консервированная, запечённая",167 кКал,167 кКал,167 кКал,167 кКал
Ветчина маложирная,162 кКал,162 кКал,162 кКал,162 кКал
"Ветчина постная, нарезка на кости, жареная на сковороде",148 кКал,148 кКал,148 кКал,148 кКал
"Ветчина постная, около  4% жира, консервированная",120 кКал,120 кКал,120 кКал,120 кКал
"Ветчина постная, около  4% жира, консервированная, обжаренная",136 кКал,136 кКал,136 кКал,136 кКал
"Ветчина постная, около 5% жира, запечённая",145 кКал,145 кКал,145 кКал,145 кКал
"Ветчина постная, стейк",122 кКал,122 кКал,122 кКал,122 кКал
"Ветчина приготовленная с добавлением воды (более 10%), верхняя часть окорока на кости",179 кКал,179 кКал,179 кКал,179 кКал
"Ветчина приготовленная с добавлением воды (более 10%), верхняя часть окорока на кости, обжареная",186 кКал,186 кКал,186 кКал,186 кКал
"Ветчина приготовленная с добавлением воды (более 10%), верхняя часть окорока на кости, постное мясо",107 кКал,107 кКал,107 кКал,107 кКал
"Ветчина приготовленная с добавлением воды (более 10%), верхняя часть окорока на кости, постное мясо, обжаренная",131 кКал,131 кКал,131 кКал,131 кКал
"Ветчина приготовленная с добавлением воды (более 10%), нарезка без кости, жареная на сковороде",124 кКал,124 кКал,124 кКал,124 кКал
"Ветчина приготовленная с добавлением воды (более 10%), нарезка на кости",149 кКал,149 кКал,149 кКал,149 кКал
"Ветчина приготовленная с добавлением воды (более 10%), нарезка на кости, жареная на сковороде",155 кКал,155 кКал,155 кКал,155 кКал
"Ветчина приготовленная с добавлением воды (более 10%), нарезка на кости, постное мясо",103 кКал,103 кКал,103 кКал,103 кКал
"Ветчина приготовленная с добавлением воды (более 10%), нарезка на кости, постное мясо, жареная на сковороде",122 кКал,122 кКал,122 кКал,122 кКал
"Ветчина приготовленная с добавлением воды (более 10%), нарезка, постное мясо без кости, жареная на сковороде",123 кКал,123 кКал,123 кКал,123 кКал
"Ветчина приготовленная с добавлением воды (более 10%), окорок в целом, без кости",117 кКал,117 кКал,117 кКал,117 кКал
"Ветчина приготовленная с добавлением воды (более 10%), окорок в целом, без кости обжареная",123 кКал,123 кКал,123 кКал,123 кКал
"Ветчина приготовленная с добавлением воды (более 10%), окорок в целом, без кости, постное мясо",116 кКал,116 кКал,116 кКал,116 кКал
"Ветчина приготовленная с добавлением воды (более 10%), окорок в целом, без кости, постное мясо, обжаренная",123 кКал,123 кКал,123 кКал,123 кКал
"Ветчина приготовленная с добавлением воды (более 10%), постное мясо",113 кКал,113 кКал,113 кКал,113 кКал
"Ветчина приготовленная с добавлением воды (более 10%), рулька",243 кКал,243 кКал,243 кКал,243 кКал
"Ветчина приготовленная с добавлением воды (более 10%), рулька, обжареная",234 кКал,234 кКал,234 кКал,234 кКал
"Ветчина приготовленная с добавлением воды (более 10%), рулька, постное мясо, обжаренная",132 кКал,132 кКал,132 кКал,132 кКал
"Ветчина приготовленная с добавлением воды (не более 10%), верхняя часть окорока на кости",172 кКал,172 кКал,172 кКал,172 кКал
"Ветчина приготовленная с добавлением воды (не более 10%), верхняя часть окорока на кости, обжаренная",161 кКал,161 кКал,161 кКал,161 кКал
"Ветчина приготовленная с добавлением воды (не более 10%), верхняя часть окорока на кости, постное мясо",95 кКал,95 кКал,95 кКал,95 кКал
"Ветчина приготовленная с добавлением воды (не более 10%), верхняя часть окорока на кости, постное мясо, обжаренная",121 кКал,121 кКал,121 кКал,121 кКал
"Ветчина приготовленная с добавлением воды (не более 10%), нарезка без кости, жареная на сковороде",125 кКал,125 кКал,125 кКал,125 кКал
"Ветчина приготовленная с добавлением воды (не более 10%), нарезка без кости, обжареная",126 кКал,126 кКал,126 кКал,126 кКал
"Ветчина приготовленная с добавлением воды (не более 10%), нарезка без кости, постное мясо, жареная на сковороде",119 кКал,119 кКал,119 кКал,119 кКал
"Ветчина приготовленная с добавлением воды (не более 10%), нарезка на кости",164 кКал,164 кКал,164 кКал,164 кКал
"Ветчина приготовленная с добавлением воды (не более 10%), нарезка на кости, жареная на сковороде",166 кКал,166 кКал,166 кКал,166 кКал
"Ветчина приготовленная с добавлением воды (не более 10%), нарезка на кости, постное мясо",95 кКал,95 кКал,95 кКал,95 кКал
"Ветчина приготовленная с добавлением воды (не более 10%), нарезка на кости, постное мясо,  жареная на сковороде",131 кКал,131 кКал,131 кКал,131 кКал
"Ветчина приготовленная с добавлением воды (не более 10%), окорок в целом без кости",121 кКал,121 кКал,121 кКал,121 кКал
"Ветчина приготовленная с добавлением воды (не более 10%), окорок в целом без кости, обжаренная",117 кКал,117 кКал,117 кКал,117 кКал
"Ветчина приготовленная с добавлением воды (не более 10%), окорок в целом без кости, постное мясо",110 кКал,110 кКал,110 кКал,110 кКал
"Ветчина приготовленная с добавлением воды (не более 10%), рулька",167 кКал,167 кКал,167 кКал,167 кКал
"Ветчина приготовленная с добавлением воды (не более 10%), рулька на кости, постное мясо",91 кКал,91 кКал,91 кКал,91 кКал
"Ветчина приготовленная с добавлением воды (не более 10%), рулька, запечённая",200 кКал,200 кКал,200 кКал,200 кКал
"Ветчина приготовленная с добавлением воды (не более 10%), рулька, постное мясо, обжаренная",128 кКал,128 кКал,128 кКал,128 кКал
Ветчина рубленая,315 кКал,315 кКал,315 кКал,315 кКал
"Ветчина слабосолёная, обезжиренная (около 5% жира), обжаренная",145 кКал,145 кКал,145 кКал,145 кКал
"Ветчина слабосолёная, постное мясо, обжаренная",165 кКал,165 кКал,165 кКал,165 кКал
"Ветчина слабосолёная, приготовленная",172 кКал,172 кКал,172 кКал,172 кКал
"Ветчина, верхняя часть окорока на кости",176 кКал,176 кКал,176 кКал,176 кКал
"Ветчина, верхняя часть окорока на кости, обжаренная",177 кКал,177 кКал,177 кКал,177 кКал
"Ветчина, верхняя часть окорока на кости, постное мясо",125 кКал,125 кКал,125 кКал,125 кКал
"Ветчина, верхняя часть окорока на кости, постное мясо, обжаренная",132 кКал,132 кКал,132 кКал,132 кКал
"Ветчина, жареная",165 кКал,165 кКал,165 кКал,165 кКал
"Ветчина, нарезка на кости",173 кКал,173 кКал,173 кКал,173 кКал
"Ветчина, нарезка на кости, жареная на сковороде",181 кКал,181 кКал,181 кКал,181 кКал
"Ветчина, нарезка на кости, постное мясо",130 кКал,130 кКал,130 кКал,130 кКал
"Ветчина, около 11% жира, запечённая",178 кКал,178 кКал,178 кКал,178 кКал
"Ветчина, около 13% жира, консервированная, запечённая",226 кКал,226 кКал,226 кКал,226 кКал
"Ветчина, окорок в целом",246 кКал,246 кКал,246 кКал,246 кКал
"Ветчина, окорок в целом, постное мясо",147 кКал,147 кКал,147 кКал,147 кКал
"Ветчина, окорок в целом, постное мясо, запечённая",157 кКал,157 кКал,157 кКал,157 кКал
"Ветчина, рулька",177 кКал,177 кКал,177 кКал,177 кКал
"Ветчина, рулька, запечённая",191 кКал,191 кКал,191 кКал,191 кКал
"Ветчина, рулька, постное мясо",125 кКал,125 кКал,125 кКал,125 кКал
"Ветчина, рулька, постное мясо, запечённая",139 кКал,139 кКал,139 кКал,139 кКал
"Ветчина, средняя часть",203 кКал,203 кКал,203 кКал,203 кКал
"Ветчина, средняя часть, по-деревенски, постное мясо",195 кКал,195 кКал,195 кКал,195 кКал
"Гуляш свиной, консервы",333 кКал,333 кКал,333 кКал,333 кКал
Желудок свиной,159 кКал,159 кКал,159 кКал,159 кКал
"Желудок свиной,  вареный на медленном огне",157 кКал,157 кКал,157 кКал,157 кКал
