Продукт,Калорийность,Белки,Жиры,Углеводы
"M&M MARS, KUDOS Цельнозерные батончики, арахисовое масло",463 кКал,463 кКал,463 кКал,463 кКал
"M&M MARS, KUDOS Цельнозерный батончик, M&M's молочный шоколад",415 кКал,415 кКал,415 кКал,415 кКал
Батончик со злаками и молоком,413 кКал,413 кКал,413 кКал,413 кКал
Воздушная кукуруза,354 кКал,354 кКал,354 кКал,354 кКал
Воздушная пшеница,354 кКал,354 кКал,354 кКал,354 кКал
Воздушный рис,349 кКал,349 кКал,349 кКал,349 кКал
"Говяжьи палочки, копченые",550 кКал,550 кКал,550 кКал,550 кКал
"Закуски, банановые чипсы",519 кКал,519 кКал,519 кКал,519 кКал
"Закуски, кукурузное пирожное, Na 488 мг",387 кКал,387 кКал,387 кКал,387 кКал
"Закуски, кукурузное пирожное, очень низкое содержание натрия, Na 28 мг",387 кКал,387 кКал,387 кКал,387 кКал
Картофельные палочки,522 кКал,522 кКал,522 кКал,522 кКал
"Картофельные чипсы, из сухого картофеля, обезжиренного, с доб. олестры (синтетический заменитель жира)",253 кКал,253 кКал,253 кКал,253 кКал
"Картофельные чипсы, из сухого картофеля, со вкусом сметаны и лука",547 кКал,547 кКал,547 кКал,547 кКал
"Картофельные чипсы, из сухого картофеля, со вкусом сыра",551 кКал,551 кКал,551 кКал,551 кКал
"Картофельные чипсы, обезжиренные, с доб. олестры (синтетический заменитель жира)",274 кКал,274 кКал,274 кКал,274 кКал
"Картофельные чипсы, обезжиренные, с солью",379 кКал,379 кКал,379 кКал,379 кКал
"Картофельные чипсы, обычные, на частично гидрогенизированном соевом масле, несоленые",536 кКал,536 кКал,536 кКал,536 кКал
"Картофельные чипсы, обычные, на частично гидрогенизированном соевом масле, соленые",536 кКал,536 кКал,536 кКал,536 кКал
"Картофельные чипсы, обычные, несоленые",536 кКал,536 кКал,536 кКал,536 кКал
"Картофельные чипсы, обычные, соленые",532 кКал,532 кКал,532 кКал,532 кКал
"Картофельные чипсы, с пониж. содерж. жира, 20.8%",471 кКал,471 кКал,471 кКал,471 кКал
"Картофельные чипсы, с солью, с пониж. содерж. жира, 20.8%",487 кКал,487 кКал,487 кКал,487 кКал
"Картофельные чипсы, со вкусом барбекю",487 кКал,487 кКал,487 кКал,487 кКал
"Картофельные чипсы, со вкусом сметаны и лука",531 кКал,531 кКал,531 кКал,531 кКал
"Картофельные чипсы, со вкусом сыра",496 кКал,496 кКал,496 кКал,496 кКал
"Крендельки, мягкие, не соленые",345 кКал,345 кКал,345 кКал,345 кКал
Кукурузные палочки,359 кКал,359 кКал,359 кКал,359 кКал
Кукурузные хлопья,347 кКал,347 кКал,347 кКал,347 кКал
Кукурузные чипсы,539 кКал,539 кКал,539 кКал,539 кКал
"Кукурузные чипсы, несоленые",557 кКал,557 кКал,557 кКал,557 кКал
"Кукурузные чипсы, со вкусом барбекю",523 кКал,523 кКал,523 кКал,523 кКал
"Кукурузные чипсы, со вкусом барбекю, из обогащенной муки маса",523 кКал,523 кКал,523 кКал,523 кКал
"Попкорн, маложирный, 9.5% жира, приготовленный в микроволновке",424 кКал,424 кКал,424 кКал,424 кКал
"Попкорн, маложирный, 9.5% жира, с низким содерж. натрия, приготовленный в микроволновке",429 кКал,429 кКал,429 кКал,429 кКал
"Попкорн, приготовленный горячим воздухом",387 кКал,387 кКал,387 кКал,387 кКал
"Попкорн, приготовленный горячим воздухом, белый",382 кКал,382 кКал,382 кКал,382 кКал
"Попкорн, приготовленный с использованием масла, в микроволновке",583 кКал,583 кКал,583 кКал,583 кКал
"Попкорн, приготовленный с использованием масла, несоленый",500 кКал,500 кКал,500 кКал,500 кКал
"Попкорн, приготовленный с использованием масла, с солью",500 кКал,500 кКал,500 кКал,500 кКал
"Попкорн, с карамелью, без орехов",431 кКал,431 кКал,431 кКал,431 кКал
"Попкорн, с карамелью, нежирный, 1.4% жира",381 кКал,381 кКал,381 кКал,381 кКал
"Попкорн, с карамелью, с орехами",400 кКал,400 кКал,400 кКал,400 кКал
"Попкорн, с пальмовым маслом, приготовленный в микроволновке",535 кКал,535 кКал,535 кКал,535 кКал
"Попкорн, со вкусом сыра",526 кКал,526 кКал,526 кКал,526 кКал
Пшеничные хлопья,337 кКал,337 кКал,337 кКал,337 кКал
Рисово-пшеничный батончик,409 кКал,409 кКал,409 кКал,409 кКал
"Соевые чипсы, соленые",385 кКал,385 кКал,385 кКал,385 кКал
Хрустящий картофель,543 кКал,543 кКал,543 кКал,543 кКал
Чипсы из батата,532 кКал,532 кКал,532 кКал,532 кКал
Шоколадный батончик POWER BAR,363 кКал,363 кКал,363 кКал,363 кКал
