Продукт,Калорийность,Белки,Жиры,Углеводы
"Абрикосовый нектар, консервированный без добавления аскорбиновой кислоты",56 кКал,56 кКал,56 кКал,56 кКал
"Абрикосы в кожуре, консервированные в собственном соку",48 кКал,48 кКал,48 кКал,48 кКал
"Ананас, консервированный в собственном соку",60 кКал,60 кКал,60 кКал,60 кКал
"Ананасовый сок, замороженный концентрат, неподслащенный, неразбавленный",179 кКал,179 кКал,179 кКал,179 кКал
"Ананасовый сок, замороженный концентрат, неподслащенный, разбавленный водой 1 к 3",51 кКал,51 кКал,51 кКал,51 кКал
"Ананасовый сок, консервированный, неподслащенный, без добавления аскорбиновой кислоты",53 кКал,53 кКал,53 кКал,53 кКал
"Ананасовый сок, консервированный, неподслащенный, с добавлением аскорбиновой кислоты",53 кКал,53 кКал,53 кКал,53 кКал
Апельсиново-ананасовый сок,51 кКал,51 кКал,51 кКал,51 кКал
"Апельсиново-грейпфрутовый сок, консервированный, неподслащенный",43 кКал,43 кКал,43 кКал,43 кКал
"Апельсиновый сок из концентрата, обогащённый кальцием",47 кКал,47 кКал,47 кКал,47 кКал
"Апельсиновый сок, замороженный концентрат, неподслащенный, неразбавленный",148 кКал,148 кКал,148 кКал,148 кКал
"Апельсиновый сок, замороженный концентрат, неподслащенный, разбавленный водой 1 к 3",37 кКал,37 кКал,37 кКал,37 кКал
"Апельсиновый сок, консервированный, неподслащенный",47 кКал,47 кКал,47 кКал,47 кКал
"Апельсиновый сок, необработанный",45 кКал,45 кКал,45 кКал,45 кКал
"Апельсиновый сок, охлажденный, полученный из концентрата",49 кКал,49 кКал,49 кКал,49 кКал
"Апельсиновый сок, охлажденный, полученный из концентрата, обогащенный кальцием и витамином Д",47 кКал,47 кКал,47 кКал,47 кКал
"Виноградно-яблочный сок, с добавлением аскорбиновой кислоты",50 кКал,50 кКал,50 кКал,50 кКал
"Виноградно-яблочный сок, с добавлением аскорбиновой кислоты и кальция",52 кКал,52 кКал,52 кКал,52 кКал
"Виноградный сок, консервированный или в бутылках, неподслащенный, с добавлением аскорбиновой кислоты",60 кКал,60 кКал,60 кКал,60 кКал
"Гранатовый сок, необработанный",54 кКал,54 кКал,54 кКал,54 кКал
"Грейпфрутовый сок, белый, замороженный концентрат, неподслащенный, неразбавленный",146 кКал,146 кКал,146 кКал,146 кКал
"Грейпфрутовый сок, белый, замороженный концентрат, неподслащенный, разбавленный водой 1 к 3",41 кКал,41 кКал,41 кКал,41 кКал
"Грейпфрутовый сок, белый, консервированный, неподслащенный",37 кКал,37 кКал,37 кКал,37 кКал
"Грейпфрутовый сок, белый, консервированный, подслащенный",46 кКал,46 кКал,46 кКал,46 кКал
"Грейпфрутовый сок, белый, необработанный",39 кКал,39 кКал,39 кКал,39 кКал
"Грейпфрутовый сок, консервированный или  в банках, неподслащенный, с добавлением аскорбиновой кислоты",60 кКал,60 кКал,60 кКал,60 кКал
"Грейпфрутовый сок, розовый, необработанный",39 кКал,39 кКал,39 кКал,39 кКал
"Грушевый нектар, консервированный, без добавления аскорбиновой кослоты",60 кКал,60 кКал,60 кКал,60 кКал
"Грушевый нектар, консервированный, с добавлением аскорбиновой кослоты",60 кКал,60 кКал,60 кКал,60 кКал
"Клюквенный сок, неподслащенный",46 кКал,46 кКал,46 кКал,46 кКал
"Лаймовый сок, консервированный или в бутылках, неподслащенный",21 кКал,21 кКал,21 кКал,21 кКал
"Лаймовый сок, необработанный",25 кКал,25 кКал,25 кКал,25 кКал
"Лимонный сок, консервированный или в бутылках",17 кКал,17 кКал,17 кКал,17 кКал
"Лимонный сок, необработанный",22 кКал,22 кКал,22 кКал,22 кКал
"Мандариновый сок, необработанный",43 кКал,43 кКал,43 кКал,43 кКал
"Морковный сок, консервированный",40 кКал,40 кКал,40 кКал,40 кКал
"Нектар гуавы, консервированный",63 кКал,63 кКал,63 кКал,63 кКал
"Нектар гуанабаны, консервированный",59 кКал,59 кКал,59 кКал,59 кКал
"Нектар манго, консервированный",51 кКал,51 кКал,51 кКал,51 кКал
"Нектар папайи, консервированный",57 кКал,57 кКал,57 кКал,57 кКал
"Нектар тамаринда, консервированный",57 кКал,57 кКал,57 кКал,57 кКал
"Персиковый нектар, консервированный, без добавления аскорбиновой кослоты",49 кКал,49 кКал,49 кКал,49 кКал
"Персиковый нектар, консервированный, с добавлением аскорбиновой кослоты",54 кКал,54 кКал,54 кКал,54 кКал
"Сок ацеролы, необработаный",23 кКал,23 кКал,23 кКал,23 кКал
"Сок ежевики, консервированный",38 кКал,38 кКал,38 кКал,38 кКал
"Сок из папайи лавролистной, необработанный",60 кКал,60 кКал,60 кКал,60 кКал
"Сок из папайи съедобной, необработанный",51 кКал,51 кКал,51 кКал,51 кКал
"Сок из чернослива, консервированный",71 кКал,71 кКал,71 кКал,71 кКал
"Сок мультиовощной, консервированный",22 кКал,22 кКал,22 кКал,22 кКал
"Томатный и овощной сок, с пониженым содержанием соли",22 кКал,22 кКал,22 кКал,22 кКал
"Томатный сок без соли, консервированный",17 кКал,17 кКал,17 кКал,17 кКал
"Томатный сок с солью, консервированный",17 кКал,17 кКал,17 кКал,17 кКал
"Яблочный сок, замороженный концентрат, неподслащенный, неразбавленный, с добавлением аскорбиновой кислоты",166 кКал,166 кКал,166 кКал,166 кКал
"Яблочный сок, замороженный концентрат, неподслащенный, разбавленный водой 1 к 3, с добавлением аскорбиновой кислоты",47 кКал,47 кКал,47 кКал,47 кКал
"Яблочный сок, замороженный концетрат, неподслащенный, неразбавленый, без добавления аскорбиновой кислоты",166 кКал,166 кКал,166 кКал,166 кКал
"Яблочный сок, замороженный концетрат, неподслащенный, разбавленый водой 1 к 3, без добавления аскорбиновой кислоты",47 кКал,47 кКал,47 кКал,47 кКал
"Яблочный сок, консервированный или в бутылках, неподслащенный, без добавления аскорбиновой кислоты",46 кКал,46 кКал,46 кКал,46 кКал
"Яблочный сок, консервированный или в бутылках, неподслащенный, с добавлением аскорбиновой кислоты",46 кКал,46 кКал,46 кКал,46 кКал
