Продукт,Калорийность,Белки,Жиры,Углеводы
"LOMA LINDA Большие сосиски, низкожирные, консервированные, неприготовленные",154 кКал,154 кКал,154 кКал,154 кКал
"MORI-NU, Тофу, мягкий, шелковый",55 кКал,55 кКал,55 кКал,55 кКал
"MORI-NU, Тофу, твердый, шелковый",62 кКал,62 кКал,62 кКал,62 кКал
"MORI-NU, Тофу, экстра твердый, шелковый",55 кКал,55 кКал,55 кКал,55 кКал
Арахис,552 кКал,552 кКал,552 кКал,552 кКал
Арахис,567 кКал,567 кКал,567 кКал,567 кКал
Арахис валенсия,570 кКал,570 кКал,570 кКал,570 кКал
"Арахис валенсия жаренный на масле, без соли",589 кКал,589 кКал,589 кКал,589 кКал
"Арахис валенсия жареный на масле, с солью",589 кКал,589 кКал,589 кКал,589 кКал
"Арахис вареный, с солью",318 кКал,318 кКал,318 кКал,318 кКал
Арахис вирджиния,563 кКал,563 кКал,563 кКал,563 кКал
"Арахис вирджиния жареный на масле, без соли",578 кКал,578 кКал,578 кКал,578 кКал
"Арахис вирджиния, жареный на масле, с солью",578 кКал,578 кКал,578 кКал,578 кКал
Арахис жареный,626 кКал,626 кКал,626 кКал,626 кКал
"Арахис жареный без масла, без соли",587 кКал,587 кКал,587 кКал,587 кКал
"Арахис жареный без масла, с солью",587 кКал,587 кКал,587 кКал,587 кКал
"Арахис жареный на масле, без соли",599 кКал,599 кКал,599 кКал,599 кКал
"Арахис жареный на масле, с солью",599 кКал,599 кКал,599 кКал,599 кКал
Арахис испанский,570 кКал,570 кКал,570 кКал,570 кКал
"Арахис испанский, жареный на масле, без соли",579 кКал,579 кКал,579 кКал,579 кКал
"Арахис испанский, жареный на масле, с солью",579 кКал,579 кКал,579 кКал,579 кКал
Арахисовая мука обезжиренная,327 кКал,327 кКал,327 кКал,327 кКал
Арахисовая мука с низким содерж. жира,428 кКал,428 кКал,428 кКал,428 кКал
Арахисовая паста без соли,598 кКал,598 кКал,598 кКал,598 кКал
Арахисовая паста обогащенная витаминами и минералами,591 кКал,591 кКал,591 кКал,591 кКал
"Арахисовая паста с кусочками орехов, без соли",589 кКал,589 кКал,589 кКал,589 кКал
"Арахисовая паста с кусочками орехов, обогащенное витаминами и минералами",593 кКал,593 кКал,593 кКал,593 кКал
"Арахисовая паста с кусочками орехов, с солью",589 кКал,589 кКал,589 кКал,589 кКал
Арахисовая паста с омега-3,608 кКал,608 кКал,608 кКал,608 кКал
"Арахисовая паста с пониж. содерж. жира, 34%",520 кКал,520 кКал,520 кКал,520 кКал
Арахисовая паста с пониженным содерж. натрия,590 кКал,590 кКал,590 кКал,590 кКал
Арахисовая паста с солью,598 кКал,598 кКал,598 кКал,598 кКал
"Арахисовая паста, стандарт США",588 кКал,588 кКал,588 кКал,588 кКал
"Арахисовое масло, паста-спред, с пониженным содерж. сахара",650 кКал,650 кКал,650 кКал,650 кКал
"Бекон, из заменителя мяса (из бобовых)",309 кКал,309 кКал,309 кКал,309 кКал
Боб садовый (конский) незрелый,72 кКал,72 кКал,72 кКал,72 кКал
"Боб садовый (конский) незрелый, вареный, без соли",62 кКал,62 кКал,62 кКал,62 кКал
"Боб садовый (конский) незрелый, вареный, с солью",62 кКал,62 кКал,62 кКал,62 кКал
Бобы (фасоль фава),341 кКал,341 кКал,341 кКал,341 кКал
"Бобы (фасоль фава), вареные, без соли",110 кКал,110 кКал,110 кКал,110 кКал
"Бобы (фасоль фава), вареные, с солью",110 кКал,110 кКал,110 кКал,110 кКал
