Продукт,Калорийность,Белки,Жиры,Углеводы
"Oscar Mayer (Оскар Майер), ветчина, медовая, с добавлением воды",111 кКал,111 кКал,111 кКал,111 кКал
"Боквурст, (кнакер, варёно-копчёная сарделька), свинина, телятина, сырая",301 кКал,301 кКал,301 кКал,301 кКал
"Болонская колбаса, говядина",299 кКал,299 кКал,299 кКал,299 кКал
"Болонская колбаса, говядина и свинина",308 кКал,308 кКал,308 кКал,308 кКал
"Болонская колбаса, говядина и свинина, с низким содерж. жира, 19% жира",230 кКал,230 кКал,230 кКал,230 кКал
"Болонская колбаса, говядина, с низким содерж. жира, 15% жира",204 кКал,204 кКал,204 кКал,204 кКал
"Болонская колбаса, индейка",209 кКал,209 кКал,209 кКал,209 кКал
"Болонская колбаса, курица, индейка, свинина",298 кКал,298 кКал,298 кКал,298 кКал
"Болонская колбаса, курица, свинина",336 кКал,336 кКал,336 кКал,336 кКал
"Болонская колбаса, курица, свинина, говядина",272 кКал,272 кКал,272 кКал,272 кКал
"Болонская колбаса, свинина",247 кКал,247 кКал,247 кКал,247 кКал
"Болонская колбаса, свинина и индейка, легкая, 16% жира",211 кКал,211 кКал,211 кКал,211 кКал
"Болонская колбаса, свинина, индейка, говядина",336 кКал,336 кКал,336 кКал,336 кКал
"Братвурст, сарделька, из говядины и свинины",323 кКал,323 кКал,323 кКал,323 кКал
"Братвурст, сарделька, из говядины и свинины, копченая",297 кКал,297 кКал,297 кКал,297 кКал
"Братвурст, сарделька, из курицы, приготовленная",176 кКал,176 кКал,176 кКал,176 кКал
"Братвурст, сарделька, из свинины, говядины и индейки, легкая, копченая (14% жира)",186 кКал,186 кКал,186 кКал,186 кКал
"Братвурст, сарделька, из свинины, приготовленная",333 кКал,333 кКал,333 кКал,333 кКал
"Братвурст, сарделька, из телятины, приготовленная",341 кКал,341 кКал,341 кКал,341 кКал
Ветчина в форме,279 кКал,279 кКал,279 кКал,279 кКал
Ветчина особая,126 кКал,126 кКал,126 кКал,126 кКал
"Ветчина, медовая, копчено-вареная",122 кКал,122 кКал,122 кКал,122 кКал
"Ветчина, нарезанная ломтиками, сверх постная",107 кКал,107 кКал,107 кКал,107 кКал
"Ветчина, рубленая",263 кКал,263 кКал,263 кКал,263 кКал
"Ветчина, рубленная, консервированная",239 кКал,239 кКал,239 кКал,239 кКал
"Ветчина, рубленная, неконсервированная",221 кКал,221 кКал,221 кКал,221 кКал
"Говядина, солонина, буханка, заливное",153 кКал,153 кКал,153 кКал,153 кКал
"Говядина, солонина, колбаска, приготовленная, копченая",312 кКал,312 кКал,312 кКал,312 кКал
"Говядина, солонина, консервированная",250 кКал,250 кКал,250 кКал,250 кКал
"Говядина, солонина, копченая, нарубленная",133 кКал,133 кКал,133 кКал,133 кКал
"Говядина, солонина, мясо для ланча, заливное",111 кКал,111 кКал,111 кКал,111 кКал
"Говядина, солонина, Пастрома",147 кКал,147 кКал,147 кКал,147 кКал
"Говядина, солонина, сушеная",153 кКал,153 кКал,153 кКал,153 кКал
"Говядина, сосиски, заранее приготовленные",405 кКал,405 кКал,405 кКал,405 кКал
"Говядина, сосиски, свежие, приготовленные",332 кКал,332 кКал,332 кКал,332 кКал
Грудинка копчено-запеченная (свинина),514 кКал,514 кКал,514 кКал,514 кКал
