Продукт,Калорийность,Белки,Жиры,Углеводы
Аджика,"59,3 кКал","59,3 кКал","59,3 кКал","59,3 кКал"
"Анис, семена",337 кКал,337 кКал,337 кКал,337 кКал
"Базилик, свежий",23 кКал,23 кКал,23 кКал,23 кКал
"Базилик, сушеный",233 кКал,233 кКал,233 кКал,233 кКал
Ванилин,351 кКал,351 кКал,351 кКал,351 кКал
Ванильный экстракт,288 кКал,288 кКал,288 кКал,288 кКал
"Ванильный экстракт, искуственный, без алкоголя",56 кКал,56 кКал,56 кКал,56 кКал
"Ванильный экстракт, искуственный, с алкоголем",237 кКал,237 кКал,237 кКал,237 кКал
Васаби,292 кКал,292 кКал,292 кКал,292 кКал
"Гвоздика, молотая",274 кКал,274 кКал,274 кКал,274 кКал
"Горчица желтая, приготовленная",60 кКал,60 кКал,60 кКал,60 кКал
"Горчица желтая, семена",508 кКал,508 кКал,508 кКал,508 кКал
"Горчица сарептская, соленая",28 кКал,28 кКал,28 кКал,28 кКал
Горчица столовая,143 кКал,143 кКал,143 кКал,143 кКал
Дрожжевой экстракт,185 кКал,185 кКал,185 кКал,185 кКал
"Заменитель майонеза, молочные сливки",97 кКал,97 кКал,97 кКал,97 кКал
"Заменитель майонеза, соевый",232 кКал,232 кКал,232 кКал,232 кКал
"Заменитель майонеза, соевый без холестерина",482 кКал,482 кКал,482 кКал,482 кКал
Заправка для салата Зеленая богиня,427 кКал,427 кКал,427 кКал,427 кКал
Заправка для салата из шинкованной капусты,404 кКал,404 кКал,404 кКал,404 кКал
"Заправка для салата из шинкованной капусты, обезжиренная",329 кКал,329 кКал,329 кКал,329 кКал
"Заправка для салата итальянская, без соли, покупная",292 кКал,292 кКал,292 кКал,292 кКал
"Заправка для салата итальянская, низкокалорийная",200 кКал,200 кКал,200 кКал,200 кКал
"Заправка для салата итальянская, обезжиренная",102 кКал,102 кКал,102 кКал,102 кКал
"Заправка для салата итальянская, обезжиренная",47 кКал,47 кКал,47 кКал,47 кКал
"Заправка для салата итальянская, обезжиренная, без соли",76 кКал,76 кКал,76 кКал,76 кКал
"Заправка для салата итальянская, покупная",240 кКал,240 кКал,240 кКал,240 кКал
Заправка для салата кунжутная,443 кКал,443 кКал,443 кКал,443 кКал
Заправка для салата с беконом и помидорами,326 кКал,326 кКал,326 кКал,326 кКал
Заправка для салата с уксусом и маслом домашнего приготовления,449 кКал,449 кКал,449 кКал,449 кКал
"Заправка для салата Тысяча островов, обезжиренная",195 кКал,195 кКал,195 кКал,195 кКал
"Заправка для салата Тысяча островов, покупная",379 кКал,379 кКал,379 кКал,379 кКал
"Заправка для салата французская, обезжиренная",132 кКал,132 кКал,132 кКал,132 кКал
"Заправка для салата французская, по домашнему рецепту",631 кКал,631 кКал,631 кКал,631 кКал
Заправка для салата Цезарь,542 кКал,542 кКал,542 кКал,542 кКал
"Заправка для салата Цезарь, низкокалорийная",110 кКал,110 кКал,110 кКал,110 кКал
"Заправка для салата Цезарь, обезжиренная",131 кКал,131 кКал,131 кКал,131 кКал
"Заправка для салата, медово-горчичная, низкокалорийная",207 кКал,207 кКал,207 кКал,207 кКал
