Продукт,Калорийность,Белки,Жиры,Углеводы
"BURGER KING, ванильный коктейль",168 кКал,168 кКал,168 кКал,168 кКал
"BURGER KING, гамбургер",261 кКал,261 кКал,261 кКал,261 кКал
"BURGER KING, двойной ""WHOPPER"", без сыра",252 кКал,252 кКал,252 кКал,252 кКал
"BURGER KING, двойной ""WHOPPER"", с сыром",266 кКал,266 кКал,266 кКал,266 кКал
"BURGER KING, драники",302 кКал,302 кКал,302 кКал,302 кКал
"BURGER KING, картошка фри",280 кКал,280 кКал,280 кКал,280 кКал
"BURGER KING, круассан ""CROISSAN'WICH"" с сосиской и сыром",376 кКал,376 кКал,376 кКал,376 кКал
"BURGER KING, круассан ""CROISSAN'WICH"" с сосиской, яйцом и сыром",308 кКал,308 кКал,308 кКал,308 кКал
"BURGER KING, круассан ""CROISSAN'WICH"" с яйцом и сыром",283 кКал,283 кКал,283 кКал,283 кКал
"BURGER KING, куриное филе ""CHICKEN TENDERS""",292 кКал,292 кКал,292 кКал,292 кКал
"BURGER KING, куриный сэндвич ""Original Chicken Sandwich""",286 кКал,286 кКал,286 кКал,286 кКал
"BURGER KING, сэндвич ""WHOPPER"", без сыра",233 кКал,233 кКал,233 кКал,233 кКал
"BURGER KING, сэндвич ""WHOPPER"", с сыром",250 кКал,250 кКал,250 кКал,250 кКал
"BURGER KING, французские гренки",349 кКал,349 кКал,349 кКал,349 кКал
"BURGER KING, чизбургер",286 кКал,286 кКал,286 кКал,286 кКал
"DOMINO'S, пицца ""EXTRAVAGANZZA FEAST"", на классическом корже, сформированном вручную, 14 дюймов",244 кКал,244 кКал,244 кКал,244 кКал
"DOMINO'S, пицца с паперони ""Pepperoni Pizza"", на замороженном корже, 14 дюймов",283 кКал,283 кКал,283 кКал,283 кКал
"DOMINO'S, пицца с паперони ""Pepperoni Pizza"", на классическом корже, сформированном вручную, 14 дюймов",273 кКал,273 кКал,273 кКал,273 кКал
"DOMINO'S, сырная пицца ""Cheese Pizza"", на замороженном корже, 14 дюймов",265 кКал,265 кКал,265 кКал,265 кКал
"DOMINO'S, сырная пицца ""Cheese Pizza"", на классическом корже, сформированном вручную, 14 дюймов",257 кКал,257 кКал,257 кКал,257 кКал
"DOMINO'S, сырная пицца ""Cheese Pizza"", на тонком корже с кусочками арахиса",298 кКал,298 кКал,298 кКал,298 кКал
"KENTUCKY FRIED CHICKEN, бисквит, информация состоянием на январь 2007",358 кКал,358 кКал,358 кКал,358 кКал
"KENTUCKY FRIED CHICKEN, жареная в панировке курица ""EXTRA CRISPY"", бедра, мясо и шкурка, информация состоянием на январь 2007",309 кКал,309 кКал,309 кКал,309 кКал
"KENTUCKY FRIED CHICKEN, жареная в панировке курица ""EXTRA CRISPY"", крылышки, мясо и шкурка, информация состоянием на  январе 2007",337 кКал,337 кКал,337 кКал,337 кКал
"KENTUCKY FRIED CHICKEN, жареная в панировке курица ""EXTRA CRISPY"", ножки, мясо и шкурка, информация состоянием на январь 2007",274 кКал,274 кКал,274 кКал,274 кКал
"KENTUCKY FRIED CHICKEN, жареная в панировке курица ""EXTRA CRISPY"", шкурка, информация состоянием на январь 2007",464 кКал,464 кКал,464 кКал,464 кКал
"KENTUCKY FRIED CHICKEN, жареная в панировке курица ""ORIGINAL RECIPE"", бедра, мясо и шкурка, информация состоянием на январь 2007",269 кКал,269 кКал,269 кКал,269 кКал
"KENTUCKY FRIED CHICKEN, жареная в панировке курица ""ORIGINAL RECIPE"", грудка, мясо и шкурка, информация состоянием на январь 2007",231 кКал,231 кКал,231 кКал,231 кКал
"KENTUCKY FRIED CHICKEN, жареная в панировке курица ""ORIGINAL RECIPE"", крылышки, мясо и шкурка, информация состоянием на  январь 2007",297 кКал,297 кКал,297 кКал,297 кКал
"KENTUCKY FRIED CHICKEN, жареная в панировке курица ""ORIGINAL RECIPE"", ножки, мясо и шкурка, информация состоянием на  январь 2007",239 кКал,239 кКал,239 кКал,239 кКал
"KENTUCKY FRIED CHICKEN, жареная в панировке курица ""ORIGINAL RECIPE"", шкурка, информация состоянием на  январь 2007",384 кКал,384 кКал,384 кКал,384 кКал
"KENTUCKY FRIED CHICKEN, жареная курица ""EXTRA CRISPY"", бедра, только мясо,  информация состоянием на  январь 2007",179 кКал,179 кКал,179 кКал,179 кКал
"KENTUCKY FRIED CHICKEN, жареная курица ""EXTRA CRISPY"", грудка, только мясо, информация состоянием на январь 2007",153 кКал,153 кКал,153 кКал,153 кКал
"KENTUCKY FRIED CHICKEN, жареная курица ""EXTRA CRISPY"", крылышки, только мясо, информация состоянием на  январь 2007",236 кКал,236 кКал,236 кКал,236 кКал
"KENTUCKY FRIED CHICKEN, жареная курица ""EXTRA CRISPY"", ножки, только мясо, информация состоянием на  январь 2007",170 кКал,170 кКал,170 кКал,170 кКал
"KENTUCKY FRIED CHICKEN, жареная курица ""ORIGINAL RECIPE"" ножки, только мясо, информация состоянием на  январь 2007",175 кКал,175 кКал,175 кКал,175 кКал
"KENTUCKY FRIED CHICKEN, жареная курица ""ORIGINAL RECIPE"", бедра, только мясо, информация состоянием на  январь 2007",175 кКал,175 кКал,175 кКал,175 кКал
"KENTUCKY FRIED CHICKEN, жареная курица ""ORIGINAL RECIPE"", грудка, только мясо, информация состоянием на  январь 2007",149 кКал,149 кКал,149 кКал,149 кКал
"KENTUCKY FRIED CHICKEN, жареная курица ""ORIGINAL RECIPE"", крылышки, только мясо, информация состоянием на  январь 2007",216 кКал,216 кКал,216 кКал,216 кКал
