Продукт,Калорийность,Белки,Жиры,Углеводы
Абрикосовое пюре,60 кКал,60 кКал,60 кКал,60 кКал
Абрикосовый джем,276 кКал,276 кКал,276 кКал,276 кКал
Абрикосовый компот. Консервы,89 кКал,89 кКал,89 кКал,89 кКал
Абрикосы,44 кКал,44 кКал,44 кКал,44 кКал
Абрикосы,48 кКал,48 кКал,48 кКал,48 кКал
"Абрикосы без кожуры, консервированные в водной заливке",22 кКал,22 кКал,22 кКал,22 кКал
"Абрикосы без кожуры, консервированные в насыщенном сахарном сиропе",83 кКал,83 кКал,83 кКал,83 кКал
"Абрикосы без кожуры, консервированные в экстра-насыщенном сахарном сиропе",96 кКал,96 кКал,96 кКал,96 кКал
Абрикосы замороженные подслащенные,98 кКал,98 кКал,98 кКал,98 кКал
Абрикосы сушеные,241 кКал,241 кКал,241 кКал,241 кКал
"Абрикосы сушеные (дегидрированные), сульфитированные, неприготовленные",320 кКал,320 кКал,320 кКал,320 кКал
"Абрикосы сушеные (дегидрированные), сульфитированные, тушеные",126 кКал,126 кКал,126 кКал,126 кКал
"Абрикосы сушеные (курага), тушеные без сахара",85 кКал,85 кКал,85 кКал,85 кКал
"Абрикосы сушеные (курага), тушеные с сахаром",113 кКал,113 кКал,113 кКал,113 кКал
Абрикосы сушеные с косточкой (урюк),242 кКал,242 кКал,242 кКал,242 кКал
"Абрикосы, консервированные (половинки или кусочки)",85 кКал,85 кКал,85 кКал,85 кКал
"Абрикосы, консервированные в водной заливке",27 кКал,27 кКал,27 кКал,27 кКал
"Абрикосы, консервированные в легком сахарном сиропе",63 кКал,63 кКал,63 кКал,63 кКал
"Абрикосы, консервированные в насыщенном сахарном сиропе",83 кКал,83 кКал,83 кКал,83 кКал
"Абрикосы, консервированные в насыщенном сахарном сиропе",83 кКал,83 кКал,83 кКал,83 кКал
"Абрикосы, консервированные в экстра-легком сахарном сиропе",49 кКал,49 кКал,49 кКал,49 кКал
Айва,48 кКал,48 кКал,48 кКал,48 кКал
Айва,57 кКал,57 кКал,57 кКал,57 кКал
Айвовый компот. Консервы,82 кКал,82 кКал,82 кКал,82 кКал
Актинидия  (дальневосточное киви),56 кКал,56 кКал,56 кКал,56 кКал
Ананас,52 кКал,52 кКал,52 кКал,52 кКал
"Ананас замороженный, подслащенный",86 кКал,86 кКал,86 кКал,86 кКал
"Ананас, все сорта",50 кКал,50 кКал,50 кКал,50 кКал
"Ананас, консервированный в водной заливке",32 кКал,32 кКал,32 кКал,32 кКал
"Ананас, консервированный в легком сахарном сиропе",52 кКал,52 кКал,52 кКал,52 кКал
"Ананас, консервированный в насыщенном сахарном сиропе",78 кКал,78 кКал,78 кКал,78 кКал
"Ананас, консервированный в собственном соку",60 кКал,60 кКал,60 кКал,60 кКал
"Ананас, консервированный в экстра-насыщенном сахарном сиропе",83 кКал,83 кКал,83 кКал,83 кКал
"Ананас, несладкие сорта",45 кКал,45 кКал,45 кКал,45 кКал
"Ананас, сладкие сорта",51 кКал,51 кКал,51 кКал,51 кКал
"Аннона сетчатая (кремовое яблоко, ""бычье сердце"")",101 кКал,101 кКал,101 кКал,101 кКал
Апельсин,43 кКал,43 кКал,43 кКал,43 кКал
"Апельсин валенсийский, Калифорния",49 кКал,49 кКал,49 кКал,49 кКал
Апельсин пупочный (сорт навел),49 кКал,49 кКал,49 кКал,49 кКал
Апельсин с цедрой,63 кКал,63 кКал,63 кКал,63 кКал
Апельсин Флорида,46 кКал,46 кКал,46 кКал,46 кКал
"Апельсин, все сорта",47 кКал,47 кКал,47 кКал,47 кКал
