Продукт,Калорийность,Белки,Жиры,Углеводы
"CONTINENTAL MILLS, KRUSTEAZ Миндальная смесь с маком, с исскуственными ароматизаторами, сухая",418 кКал,418 кКал,418 кКал,418 кКал
"Английские маффины, из цельной пшеницы",203 кКал,203 кКал,203 кКал,203 кКал
"Английские маффины, обычные, необогащенные, без пропионата кальция (E282 - вызывает рак), (включая, на хлебной закваске)",235 кКал,235 кКал,235 кКал,235 кКал
"Английские маффины, обычные, необогащенные, с пропионатом кальция (E282 - вызывает рак), (включая, на хлебной закваске)",235 кКал,235 кКал,235 кКал,235 кКал
"Английские маффины, обычные, обогащенные, без пропионата кальция (E282 - вызывает рак), (включая, на хлебной закваске)",235 кКал,235 кКал,235 кКал,235 кКал
"Английские маффины, обычные, приготовленные в тостере, обогащенные, с пропионатом кальция (E282 - вызывает рак), (включая, на хлебной закваске)",270 кКал,270 кКал,270 кКал,270 кКал
"Английские маффины, пшеничные",223 кКал,223 кКал,223 кКал,223 кКал
Баранки простые,311 кКал,311 кКал,311 кКал,311 кКал
Баранки сдобные,348 кКал,348 кКал,348 кКал,348 кКал
Батон нарезной из муки 1 сорта (хлеб),259 кКал,259 кКал,259 кКал,259 кКал
Батон нарезной из муки в/с (хлеб),262 кКал,262 кКал,262 кКал,262 кКал
Батон простой из муки 1 сорта (хлеб),238 кКал,238 кКал,238 кКал,238 кКал
Белковый хлеб (с клейковиной),245 кКал,245 кКал,245 кКал,245 кКал
Белый хлеб низкокалорийный,207 кКал,207 кКал,207 кКал,207 кКал
"Бисквитный пирог, готовый",258 кКал,258 кКал,258 кКал,258 кКал
"Бисквитный пирог, приготовленный из сухой смеси",257 кКал,257 кКал,257 кКал,257 кКал
"Бисквиты из смеси злаков, замороженное тесто",263 кКал,263 кКал,263 кКал,263 кКал
"Бисквиты, простые или с обезжиренными сливками (пахтой),  приготовленный из сухой смеси",335 кКал,335 кКал,335 кКал,335 кКал
"Бисквиты, простые или с обезжиренными сливками (пахтой), готовые",338 кКал,338 кКал,338 кКал,338 кКал
"Бисквиты, простые или с обезжиренными сливками (пахтой), замороженное тесто, жирные",307 кКал,307 кКал,307 кКал,307 кКал
"Бисквиты, простые или с обезжиренными сливками (пахтой), замороженное тесто, жирные, испеченные",324 кКал,324 кКал,324 кКал,324 кКал
"Бисквиты, простые или с обезжиренными сливками (пахтой), замороженное тесто, маложирные",270 кКал,270 кКал,270 кКал,270 кКал
"Бисквиты, простые или с обезжиренными сливками (пахтой), замороженное тесто, маложирные, испеченный",319 кКал,319 кКал,319 кКал,319 кКал
"Бисквиты, простые или с обезжиренными сливками (пахтой), приготовленные по рецепту",353 кКал,353 кКал,353 кКал,353 кКал
"Бисквиты, простые или с обезжиренными сливками (пахтой), сухая смесь",428 кКал,428 кКал,428 кКал,428 кКал
"Блины, обычные, замороженные, готовые к выпечке (включая блины из пахты)",233 кКал,233 кКал,233 кКал,233 кКал
