Продукт,Калорийность,Белки,Жиры,Углеводы
"Заменитель яйца, жидкий или замороженный, обезжиренный",48 кКал,48 кКал,48 кКал,48 кКал
"Заменитель яйца, порошок",444 кКал,444 кКал,444 кКал,444 кКал
Меланж,157 кКал,157 кКал,157 кКал,157 кКал
"Омлет из яичного порошка, по 1-316",200 кКал,200 кКал,200 кКал,200 кКал
"Эгног (напиток из взбитых яиц с сахаром, ромом или вином)",88 кКал,88 кКал,88 кКал,88 кКал
"Яичница глазунья, по 1-312",243 кКал,243 кКал,243 кКал,243 кКал
Яичница-болтунья,149 кКал,149 кКал,149 кКал,149 кКал
"Яичница-болтунья, замороженная",131 кКал,131 кКал,131 кКал,131 кКал
Яичный белок куриный,48 кКал,48 кКал,48 кКал,48 кКал
Яичный белок куриный,52 кКал,52 кКал,52 кКал,52 кКал
"Яичный белок куриный, замороженный",48 кКал,48 кКал,48 кКал,48 кКал
"Яичный белок куриный, сушеный",350 кКал,350 кКал,350 кКал,350 кКал
"Яичный белок куриный, сушеный",382 кКал,382 кКал,382 кКал,382 кКал
"Яичный белок куриный, сушеный, в хлопьях, со сниженной глюкозой",351 кКал,351 кКал,351 кКал,351 кКал
"Яичный белок куриный, сушеный, порошок, со сниженной глюкозой",376 кКал,376 кКал,376 кКал,376 кКал
"Яичный белок куриный, сушеный, стабилизированный, со сниженной глюкозой",357 кКал,357 кКал,357 кКал,357 кКал
Яичный желток куриный,322 кКал,322 кКал,322 кКал,322 кКал
Яичный желток куриный,354 кКал,354 кКал,354 кКал,354 кКал
Яичный желток куриный замороженный,296 кКал,296 кКал,296 кКал,296 кКал
"Яичный желток куриный замороженный, подслащенный",307 кКал,307 кКал,307 кКал,307 кКал
"Яичный желток куриный, замороженный, подсоленый",275 кКал,275 кКал,275 кКал,275 кКал
"Яичный желток куриный, сушеный",612 кКал,612 кКал,612 кКал,612 кКал
"Яичный желток куриный, сушеный",669 кКал,669 кКал,669 кКал,669 кКал
Яичный микс (удовлетворяющий стандартам министерства сельского хозяйства США),555 кКал,555 кКал,555 кКал,555 кКал
Яичный порошок,542 кКал,542 кКал,542 кКал,542 кКал
Яйцо гусиное,185 кКал,185 кКал,185 кКал,185 кКал
Яйцо индюшиное,171 кКал,171 кКал,171 кКал,171 кКал
Яйцо куриное,143 кКал,143 кКал,143 кКал,143 кКал
Яйцо куриное,157 кКал,157 кКал,157 кКал,157 кКал
Яйцо куриное вареное вкрутую,"158,7 кКал","158,7 кКал","158,7 кКал","158,7 кКал"
Яйцо куриное вареное вкрутую,155 кКал,155 кКал,155 кКал,155 кКал
Яйцо куриное вареное всмятку,"158,7 кКал","158,7 кКал","158,7 кКал","158,7 кКал"
Яйцо куриное жареное,196 кКал,196 кКал,196 кКал,196 кКал
Яйцо куриное жареное (без масла),"174,6 кКал","174,6 кКал","174,6 кКал","174,6 кКал"
Яйцо куриное сушеное,592 кКал,592 кКал,592 кКал,592 кКал
"Яйцо куриное, замороженное",147 кКал,147 кКал,147 кКал,147 кКал
"Яйцо куриное, замороженное, подсоленное",138 кКал,138 кКал,138 кКал,138 кКал
"Яйцо куриное, омлет",154 кКал,154 кКал,154 кКал,154 кКал
"Яйцо куриное, пашот",143 кКал,143 кКал,143 кКал,143 кКал
"Яйцо куриное, сушеное, стабилизированное, обогащенное глюкозой",615 кКал,615 кКал,615 кКал,615 кКал
Яйцо перепелиное,158 кКал,158 кКал,158 кКал,158 кКал
Яйцо перепелиное,168 кКал,168 кКал,168 кКал,168 кКал
"Яйцо под майонезом, по 1-86",256 кКал,256 кКал,256 кКал,256 кКал
Яйцо утиное,185 кКал,185 кКал,185 кКал,185 кКал
