Продукт,Калорийность,Белки,Жиры,Углеводы
Абрикосовый джем,"209,5561 кКал","209,5561 кКал","209,5561 кКал","209,5561 кКал"
Варенье грушевое,"214,6 кКал","214,6 кКал","214,6 кКал","214,6 кКал"
Варенье из абрикосов по-венгерски,"241,5 кКал","241,5 кКал","241,5 кКал","241,5 кКал"
Варенье из айвы,"221,8 кКал","221,8 кКал","221,8 кКал","221,8 кКал"
Варенье из арбузных корок,"219,9 кКал","219,9 кКал","219,9 кКал","219,9 кКал"
Варенье из барбариса,"203,7 кКал","203,7 кКал","203,7 кКал","203,7 кКал"
Варенье из брусники,"160,8 кКал","160,8 кКал","160,8 кКал","160,8 кКал"
Варенье из брусники,"244,3 кКал","244,3 кКал","244,3 кКал","244,3 кКал"
Варенье из брусники и яблок,"247,1 кКал","247,1 кКал","247,1 кКал","247,1 кКал"
Варенье из брусники по-белорусски,"191,1 кКал","191,1 кКал","191,1 кКал","191,1 кКал"
Варенье из брусники с корицей и гвоздикой,"243,7 кКал","243,7 кКал","243,7 кКал","243,7 кКал"
Варенье из вишни без косточек,"219,4 кКал","219,4 кКал","219,4 кКал","219,4 кКал"
Варенье из водяники,"217,8 кКал","217,8 кКал","217,8 кКал","217,8 кКал"
Варенье из голубики и малины,"229,1 кКал","229,1 кКал","229,1 кКал","229,1 кКал"
Варенье из жимолости,"218,2 кКал","218,2 кКал","218,2 кКал","218,2 кКал"
Варенье из кишмиша,"295,9 кКал","295,9 кКал","295,9 кКал","295,9 кКал"
Варенье из спелых абрикосов,"160,9 кКал","160,9 кКал","160,9 кКал","160,9 кКал"
Варенье из цедры,"174,3 кКал","174,3 кКал","174,3 кКал","174,3 кКал"
Джем грушевый,"211,7 кКал","211,7 кКал","211,7 кКал","211,7 кКал"
Джем из айвы,"222,8 кКал","222,8 кКал","222,8 кКал","222,8 кКал"
Джем из боярышника и яблок,"89,4 кКал","89,4 кКал","89,4 кКал","89,4 кКал"
Джем из черной бузины,189 кКал,189 кКал,189 кКал,189 кКал
Засахаренный кишмиш протертый,"257,1 кКал","257,1 кКал","257,1 кКал","257,1 кКал"
Облепиховое варенье,"164,6 кКал","164,6 кКал","164,6 кКал","164,6 кКал"
Повидло из абрикосов,"241,5 кКал","241,5 кКал","241,5 кКал","241,5 кКал"
Повидло из айвы,216 кКал,216 кКал,216 кКал,216 кКал
Повидло из боярышника,"167,8 кКал","167,8 кКал","167,8 кКал","167,8 кКал"
Пюре из черной бузины,"170,1 кКал","170,1 кКал","170,1 кКал","170,1 кКал"
