Продукт,Калорийность,Белки,Жиры,Углеводы
Азу,"177,62 кКал","177,62 кКал","177,62 кКал","177,62 кКал"
Антрекот,"317,2565 кКал","317,2565 кКал","317,2565 кКал","317,2565 кКал"
Анчоусы и кильки с картофелем,"156,5 кКал","156,5 кКал","156,5 кКал","156,5 кКал"
Баклажаны панированные,236 кКал,236 кКал,236 кКал,236 кКал
Баклажаны по-украински,"154,1 кКал","154,1 кКал","154,1 кКал","154,1 кКал"
Баклажаны под майонезом,"114,2 кКал","114,2 кКал","114,2 кКал","114,2 кКал"
Баклажаны тушеные с помидорами,"189,3 кКал","189,3 кКал","189,3 кКал","189,3 кКал"
"Баранина рубленая, запеченная в омлете (чувашское национальное блюдо)","246,3 кКал","246,3 кКал","246,3 кКал","246,3 кКал"
Баранина с рисом и изюмом (еврейское национальное блюдо),"265,4 кКал","265,4 кКал","265,4 кКал","265,4 кКал"
Беляш,"139,3 кКал","139,3 кКал","139,3 кКал","139,3 кКал"
Беляши (казахское национальное блюдо),"260,6 кКал","260,6 кКал","260,6 кКал","260,6 кКал"
Береки (мучное изделие с мясом - калмыцкое национальное блюдо),289 кКал,289 кКал,289 кКал,289 кКал
Бефстроганов,"355,4 кКал","355,4 кКал","355,4 кКал","355,4 кКал"
"Биточки или котлеты манные, рисовые","162,4 кКал","162,4 кКал","162,4 кКал","162,4 кКал"
"Биточки или котлеты пшенные, пшеничный, перловые, ячневые","151,9 кКал","151,9 кКал","151,9 кКал","151,9 кКал"
Биточки паровые,"281,4 кКал","281,4 кКал","281,4 кКал","281,4 кКал"
Биточки по-селянски (украинское национальное блюдо),"208,6 кКал","208,6 кКал","208,6 кКал","208,6 кКал"
"Биточки рубленые из птицы, дичи или кролика паровые под белым соусом с рисом","307,1 кКал","307,1 кКал","307,1 кКал","307,1 кКал"
"Биточки рыбные, жаренные ""фри""","232,1 кКал","232,1 кКал","232,1 кКал","232,1 кКал"
"Биточки, котлеты из кальмаров и рыбы",363 кКал,363 кКал,363 кКал,363 кКал
Бифштекс,"384,3 кКал","384,3 кКал","384,3 кКал","384,3 кКал"
Бифштекс рубленый,"497,3 кКал","497,3 кКал","497,3 кКал","497,3 кКал"
Бифштекс с луком,"337,7 кКал","337,7 кКал","337,7 кКал","337,7 кКал"
