Продукт,Калорийность,Белки,Жиры,Углеводы
Бабка из черного хлеба с яблоками,"189,7 кКал","189,7 кКал","189,7 кКал","189,7 кКал"
Бабушкины Рогалики,"320,7 кКал","320,7 кКал","320,7 кКал","320,7 кКал"
Буберт из пшеничной муки,"123,1 кКал","123,1 кКал","123,1 кКал","123,1 кКал"
Ватрушки (из дрожжевого теста),"319,3 кКал","319,3 кКал","319,3 кКал","319,3 кКал"
Воздушный пирог из черники,"149,9 кКал","149,9 кКал","149,9 кКал","149,9 кКал"
Картофельное печенье,69 кКал,69 кКал,69 кКал,69 кКал
Картофельное суфле,"108,8 кКал","108,8 кКал","108,8 кКал","108,8 кКал"
"Кекс ""Пока гости раздеваются""","286,5 кКал","286,5 кКал","286,5 кКал","286,5 кКал"
Кекс кондитерский,"276,2 кКал","276,2 кКал","276,2 кКал","276,2 кКал"
Кекс молдавский,"271,4 кКал","271,4 кКал","271,4 кКал","271,4 кКал"
Кекс шоколадный,"356,3 кКал","356,3 кКал","356,3 кКал","356,3 кКал"
Крокеты из манной крупы,"176,9 кКал","176,9 кКал","176,9 кКал","176,9 кКал"
Крокеты из моркови с изюмом,134 кКал,134 кКал,134 кКал,134 кКал
Крупеник,"204,4 кКал","204,4 кКал","204,4 кКал","204,4 кКал"
Кулебяки (из дрожжевого теста),"278,9 кКал","278,9 кКал","278,9 кКал","278,9 кКал"
Кулич пасхальный,"320,4 кКал","320,4 кКал","320,4 кКал","320,4 кКал"
Лапшевник с творогом,"165,9 кКал","165,9 кКал","165,9 кКал","165,9 кКал"
Лекех,"264,3 кКал","264,3 кКал","264,3 кКал","264,3 кКал"
Лепешки из творога и картофеля,"153,8 кКал","153,8 кКал","153,8 кКал","153,8 кКал"
Макаронник,"126,6 кКал","126,6 кКал","126,6 кКал","126,6 кКал"
Манная запеканка с вишней,"102,7 кКал","102,7 кКал","102,7 кКал","102,7 кКал"
Манник,"218,4 кКал","218,4 кКал","218,4 кКал","218,4 кКал"
Манный пудинг с абрикосами,"126,1 кКал","126,1 кКал","126,1 кКал","126,1 кКал"
