Продукт,Калорийность,Белки,Жиры,Углеводы
Бобовые в соусе,"347,7 кКал","347,7 кКал","347,7 кКал","347,7 кКал"
Бобовые отварные,"391,5 кКал","391,5 кКал","391,5 кКал","391,5 кКал"
Бобовые отварные,"276,8 кКал","276,8 кКал","276,8 кКал","276,8 кКал"
Гарнир из овощей 1,"167,1 кКал","167,1 кКал","167,1 кКал","167,1 кКал"
Гарнир из овощей 2,"18,8 кКал","18,8 кКал","18,8 кКал","18,8 кКал"
Гарнир из овощей 3,"65,2 кКал","65,2 кКал","65,2 кКал","65,2 кКал"
Гарнир из овощей 4,"180,5 кКал","180,5 кКал","180,5 кКал","180,5 кКал"
Гарнир из овощей 5,"42,4 кКал","42,4 кКал","42,4 кКал","42,4 кКал"
Гарнир из овощей 6,"73,5 кКал","73,5 кКал","73,5 кКал","73,5 кКал"
Гарнир из овощей 7,"62,3 кКал","62,3 кКал","62,3 кКал","62,3 кКал"
Гарнир из овощей 8,"47,1 кКал","47,1 кКал","47,1 кКал","47,1 кКал"
Гарнир из овощей 9,"102,4 кКал","102,4 кКал","102,4 кКал","102,4 кКал"
Гарнир из овощей к сельди и отварной рыбе 1,"58,9 кКал","58,9 кКал","58,9 кКал","58,9 кКал"
Гарнир из овощей к сельди и отварной рыбе 2,44 кКал,44 кКал,44 кКал,44 кКал
Гарнир из овощей к сельди и отварной рыбе 3,"44,6 кКал","44,6 кКал","44,6 кКал","44,6 кКал"
Гарнир из овощей к сельди и отварной рыбе 4,"57,1 кКал","57,1 кКал","57,1 кКал","57,1 кКал"
Гарнир сложный 1,"143,4 кКал","143,4 кКал","143,4 кКал","143,4 кКал"
Гарнир сложный 10,"189,8 кКал","189,8 кКал","189,8 кКал","189,8 кКал"
Гарнир сложный 11,"333,2 кКал","333,2 кКал","333,2 кКал","333,2 кКал"
Гарнир сложный 12,"201,9 кКал","201,9 кКал","201,9 кКал","201,9 кКал"
Гарнир сложный 13,"198,5 кКал","198,5 кКал","198,5 кКал","198,5 кКал"
Гарнир сложный 15,"257,5 кКал","257,5 кКал","257,5 кКал","257,5 кКал"
Гарнир сложный 16,"114,4 кКал","114,4 кКал","114,4 кКал","114,4 кКал"
Гарнир сложный 17,"182,7 кКал","182,7 кКал","182,7 кКал","182,7 кКал"
Гарнир сложный 18,"160,3 кКал","160,3 кКал","160,3 кКал","160,3 кКал"
Гарнир сложный 19,"122,7 кКал","122,7 кКал","122,7 кКал","122,7 кКал"
Гарнир сложный 2,"384,9 кКал","384,9 кКал","384,9 кКал","384,9 кКал"
Гарнир сложный 3,"216,1 кКал","216,1 кКал","216,1 кКал","216,1 кКал"
Гарнир сложный 5,"174,9 кКал","174,9 кКал","174,9 кКал","174,9 кКал"
Гарнир сложный 6,"212,9 кКал","212,9 кКал","212,9 кКал","212,9 кКал"
Гарнир сложный 7,"140,3 кКал","140,3 кКал","140,3 кКал","140,3 кКал"
Гарнир сложный 8,"176,2 кКал","176,2 кКал","176,2 кКал","176,2 кКал"
Гарниры к сладким супам,"243,9 кКал","243,9 кКал","243,9 кКал","243,9 кКал"
"Капуста ""Невская""","28,3 кКал","28,3 кКал","28,3 кКал","28,3 кКал"
Капуста жареная,"60,6 кКал","60,6 кКал","60,6 кКал","60,6 кКал"
Картофель в молоке,"97,6 кКал","97,6 кКал","97,6 кКал","97,6 кКал"
Картофель в молоке,"133,6 кКал","133,6 кКал","133,6 кКал","133,6 кКал"
Картофель в молоке,"93,3 кКал","93,3 кКал","93,3 кКал","93,3 кКал"
Картофель в фольге,"73,5 кКал","73,5 кКал","73,5 кКал","73,5 кКал"
Картофель жаренный во фритюре,279 кКал,279 кКал,279 кКал,279 кКал
Картофель жареный (из вареного),"211,5 кКал","211,5 кКал","211,5 кКал","211,5 кКал"
Картофель жареный (из сырого),"203,3 кКал","203,3 кКал","203,3 кКал","203,3 кКал"
Картофель молодой в сметане,"161,1 кКал","161,1 кКал","161,1 кКал","161,1 кКал"
Картофель по домашнему,"247,7 кКал","247,7 кКал","247,7 кКал","247,7 кКал"
"Картофель, запеченный в сметанном соусе","245,2 кКал","245,2 кКал","245,2 кКал","245,2 кКал"
"Картофель, запеченный со свининой","299,5 кКал","299,5 кКал","299,5 кКал","299,5 кКал"
"Картофель, тушённый с грибами","171,3 кКал","171,3 кКал","171,3 кКал","171,3 кКал"
"Картофель, тушенный с грибами в сметане","153,6 кКал","153,6 кКал","153,6 кКал","153,6 кКал"
Картофельная запеканка,"79,8 кКал","79,8 кКал","79,8 кКал","79,8 кКал"
Картофельная запеканка,0 кКал,0 кКал,0 кКал,0 кКал
Картофельная запеканка по-французски,96 кКал,96 кКал,96 кКал,96 кКал
Картофельная масса,"89,4 кКал","89,4 кКал","89,4 кКал","89,4 кКал"
Картофельное пюре,"81,7 кКал","81,7 кКал","81,7 кКал","81,7 кКал"
Картофельные крокеты,346 кКал,346 кКал,346 кКал,346 кКал
Картошка по Оксановски,"150,1 кКал","150,1 кКал","150,1 кКал","150,1 кКал"
Клецки,"160,3 кКал","160,3 кКал","160,3 кКал","160,3 кКал"
Клецки в лимонном соусе,87 кКал,87 кКал,87 кКал,87 кКал
Клецки из капусты,"21,5 кКал","21,5 кКал","21,5 кКал","21,5 кКал"
Лапша домашняя,"255,9 кКал","255,9 кКал","255,9 кКал","255,9 кКал"
"Морковь, пассерованная в масле","127,4 кКал","127,4 кКал","127,4 кКал","127,4 кКал"
Плов,"150,7 кКал","150,7 кКал","150,7 кКал","150,7 кКал"
Помидоры с рисом,0 кКал,0 кКал,0 кКал,0 кКал
"Помидоры, баклажаны и другие овощи жареные","119,4 кКал","119,4 кКал","119,4 кКал","119,4 кКал"
Профитроли,253 кКал,253 кКал,253 кКал,253 кКал
Пюре из кабачков,"129,8 кКал","129,8 кКал","129,8 кКал","129,8 кКал"
Пюре из картофеля и капусты,"60,4 кКал","60,4 кКал","60,4 кКал","60,4 кКал"
Пюре из картофеля и тыквы,"75,4 кКал","75,4 кКал","75,4 кКал","75,4 кКал"
Пюре из картофеля и шпината,"70,6 кКал","70,6 кКал","70,6 кКал","70,6 кКал"
Пюре из моркови,"105,7 кКал","105,7 кКал","105,7 кКал","105,7 кКал"
Пюре из репчатого лука,"44,4 кКал","44,4 кКал","44,4 кКал","44,4 кКал"
Пюре картофельное,112 кКал,112 кКал,112 кКал,112 кКал
Свекла пикантная,"58,3 кКал","58,3 кКал","58,3 кКал","58,3 кКал"
Суфле из брюквы,"147,2 кКал","147,2 кКал","147,2 кКал","147,2 кКал"
