Продукт,Калорийность,Белки,Жиры,Углеводы
Айвовый сок,51 кКал,51 кКал,51 кКал,51 кКал
"Ананасовый и апельсиновый сок напиток, консервированный",50 кКал,50 кКал,50 кКал,50 кКал
"Ананасовый и грейпфрутовый сок-напиток, консервированный",47 кКал,47 кКал,47 кКал,47 кКал
"Апельсиновый и абрикосовый сок-напиток, консервированный",51 кКал,51 кКал,51 кКал,51 кКал
"Апельсиновый напиток, консервированный, с доб витамина C",49 кКал,49 кКал,49 кКал,49 кКал
"Апельсиновый напиток, с соком и мякотью, замороженный концентрат, приготовленный на воде",45 кКал,45 кКал,45 кКал,45 кКал
Апельсиновый сок-напиток,54 кКал,54 кКал,54 кКал,54 кКал
Арзни,0 кКал,0 кКал,0 кКал,0 кКал
Боржоми,0 кКал,0 кКал,0 кКал,0 кКал
"Виноградный напиток, консервированный",61 кКал,61 кКал,61 кКал,61 кКал
"Виноградный сок-напиток, консервированный",57 кКал,57 кКал,57 кКал,57 кКал
Вода,0 кКал,0 кКал,0 кКал,0 кКал
"Вода ""Ливония"" (г. Владивосток)",0 кКал,0 кКал,0 кКал,0 кКал
"Вода ""Перье"" (PERRIER)",0 кКал,0 кКал,0 кКал,0 кКал
Вода водопроводная питьевая,0 кКал,0 кКал,0 кКал,0 кКал
"Вода водопроводная, городская",0 кКал,0 кКал,0 кКал,0 кКал
Вода колодезная (из подземного источника),0 кКал,0 кКал,0 кКал,0 кКал
"Вода, бутилированная, POLAND SPRING",0 кКал,0 кКал,0 кКал,0 кКал
"Вода, бутилированная, в общем",0 кКал,0 кКал,0 кКал,0 кКал
"Вода, бутилированная, негазированная, CALISTOGA",0 кКал,0 кКал,0 кКал,0 кКал
"Вода, бутилированная, негазированная, CRYSTAL GEYSER",0 кКал,0 кКал,0 кКал,0 кКал
"Вода, бутилированная, негазированная, DANNON",0 кКал,0 кКал,0 кКал,0 кКал
"Вода, бутилированная, негазированная, DANNON Fluoride To Go",0 кКал,0 кКал,0 кКал,0 кКал
"Вода, бутилированная, негазированная, DASANI",0 кКал,0 кКал,0 кКал,0 кКал
"Вода, бутилированная, негазированная, EVIAN",0 кКал,0 кКал,0 кКал,0 кКал
"Вода, бутилированная, негазированная, NAYA",0 кКал,0 кКал,0 кКал,0 кКал
"Вода, бутилированная, негазированная, PEPSI,(пепси), AQUAFINA",0 кКал,0 кКал,0 кКал,0 кКал
"Вода, бутилированная, Перье, PERRIER",0 кКал,0 кКал,0 кКал,0 кКал
"Вода, негазированная, бутылированная, с натуральным фруктовым вкусом, с низкокалорийным подсластителем",1 кКал,1 кКал,1 кКал,1 кКал
"Вода, с доб. витаминов и минералов, бутилированная, подслащенная, со вкусом фруктового ассорти",22 кКал,22 кКал,22 кКал,22 кКал
"Вода, с кукурузным сиропом и/или сахаром и низкокалорийным подсластителем, с фруктовым вкусом",18 кКал,18 кКал,18 кКал,18 кКал
"Газированный напиток, апельсиновый",48 кКал,48 кКал,48 кКал,48 кКал
"Газированный напиток, виноградная сода",43 кКал,43 кКал,43 кКал,43 кКал
"Газированный напиток, Имбирный эль",34 кКал,34 кКал,34 кКал,34 кКал
"Газированный напиток, кола, без кофеина",41 кКал,41 кКал,41 кКал,41 кКал
"Газированный напиток, кола, с высоким содерж. кофеина",42 кКал,42 кКал,42 кКал,42 кКал
"Газированный напиток, кола, с кофеином",37 кКал,37 кКал,37 кКал,37 кКал
"Газированный напиток, Корневое пиво, Саспарилла",41 кКал,41 кКал,41 кКал,41 кКал
