Продукт,Калорийность,Белки,Жиры,Углеводы
Абрикосовое суфле,"116,2208 кКал","116,2208 кКал","116,2208 кКал","116,2208 кКал"
Апельсиновые корзиночки с кремом,"118,9 кКал","118,9 кКал","118,9 кКал","118,9 кКал"
Апельсиновый десерт,"56,7 кКал","56,7 кКал","56,7 кКал","56,7 кКал"
Апельсины в ванильном соусе,"68,7 кКал","68,7 кКал","68,7 кКал","68,7 кКал"
Безе,"234,4 кКал","234,4 кКал","234,4 кКал","234,4 кКал"
Безе,"304,8 кКал","304,8 кКал","304,8 кКал","304,8 кКал"
Бисквит из яичных белков,"319,2 кКал","319,2 кКал","319,2 кКал","319,2 кКал"
Блинчики из овсяных хлопьев,"170,1 кКал","170,1 кКал","170,1 кКал","170,1 кКал"
Блинчики с маком,"214,3 кКал","214,3 кКал","214,3 кКал","214,3 кКал"
Блинчики с морковью,"105,4 кКал","105,4 кКал","105,4 кКал","105,4 кКал"
"Блинчики с мясным, ливерным, творожным, яблочным фаршем, джемом, повидлом или вареньем","278,3 кКал","278,3 кКал","278,3 кКал","278,3 кКал"
Блинчики-полуфабрикат (оболочка),153 кКал,153 кКал,153 кКал,153 кКал
Блины,"232,5 кКал","232,5 кКал","232,5 кКал","232,5 кКал"
Блины гречневые,"229,1 кКал","229,1 кКал","229,1 кКал","229,1 кКал"
Блины гурьевские,"178,6 кКал","178,6 кКал","178,6 кКал","178,6 кКал"
Блины дехканские,"210,2 кКал","210,2 кКал","210,2 кКал","210,2 кКал"
Блины из вареного картофеля,"189,3 кКал","189,3 кКал","189,3 кКал","189,3 кКал"
Блины из капусты,"154,4 кКал","154,4 кКал","154,4 кКал","154,4 кКал"
Блины из тыквы,"138,3 кКал","138,3 кКал","138,3 кКал","138,3 кКал"
Блины красные,"174,7 кКал","174,7 кКал","174,7 кКал","174,7 кКал"
Блины кукурузные (чечено-ингушское национальное блюдо),221 кКал,221 кКал,221 кКал,221 кКал
Блины с квашенной капустой,"106,6 кКал","106,6 кКал","106,6 кКал","106,6 кКал"
Блины славянские,218 кКал,218 кКал,218 кКал,218 кКал
