Продукт,Калорийность,Белки,Жиры,Углеводы
"Азу из говядины, по 1-432",103 кКал,103 кКал,103 кКал,103 кКал
"Антрекот из говядины, по 1-404",220 кКал,220 кКал,220 кКал,220 кКал
"Бедро, целиком, говядина, только мясо, обрезь до 1/4'' жира, отборная, жаренное на открытом огне",191 кКал,191 кКал,191 кКал,191 кКал
"Бедро, целиком, говядина, только мясо, обрезь до 1/4'' жира, первый сорт, жаренное на открытом огне",172 кКал,172 кКал,172 кКал,172 кКал
"Бефстроганов из говядины, по 1 -406",193 кКал,193 кКал,193 кКал,193 кКал
"Биточки из говядины с рисом, по 1 -446",144 кКал,144 кКал,144 кКал,144 кКал
"Биточки паровые из говядины,  по 1-454",192 кКал,192 кКал,192 кКал,192 кКал
"Бифштекс из говядины с яйцом, по 1-402",275 кКал,275 кКал,275 кКал,275 кКал
"Бифштекс из говядины, по 1-400",216 кКал,216 кКал,216 кКал,216 кКал
"Бифштекс рубленый из говядины, по 1-438",306 кКал,306 кКал,306 кКал,306 кКал
Бульон говяжий,13 кКал,13 кКал,13 кКал,13 кКал
Вилочковая железа телячья,101 кКал,101 кКал,101 кКал,101 кКал
"Вилочковая железа телячья, тушеная",125 кКал,125 кКал,125 кКал,125 кКал
Вымя говяжье,173 кКал,173 кКал,173 кКал,173 кКал
"Говядина  отборная, вырезка, постное мясо, жареная на огне",206 кКал,206 кКал,206 кКал,206 кКал
"Говядина  отборная, вырезка, постное мясо, сырая",158 кКал,158 кКал,158 кКал,158 кКал
"Говядина  отборная, короткий филей,постное мясо, сырая",155 кКал,155 кКал,155 кКал,155 кКал
"Говядина  отборная, мякоть верхней части бедра, постное мясо, жареная на огне",193 кКал,193 кКал,193 кКал,193 кКал
"Говядина  отборная, мякоть верхней части бедра, постное мясо, сырая",140 кКал,140 кКал,140 кКал,140 кКал
"Говядина  отборная, плечевая мякоть, постное мясо , сырая",139 кКал,139 кКал,139 кКал,139 кКал
"Говядина  отборная, плечевая мякоть, постное мясо , тушеная",224 кКал,224 кКал,224 кКал,224 кКал
"Говядина  отборная, щуп, постное мясо, обжаренная",175 кКал,175 кКал,175 кКал,175 кКал
"Говядина  отборная, щуп, постное мясо, сырая",128 кКал,128 кКал,128 кКал,128 кКал
"Говядина  разных категорий, мякоть верхней части бедра, мясо с жиром убранным до уровня 0"", жареная",167 кКал,167 кКал,167 кКал,167 кКал
"Говядина  разных категорий, мякоть верхней части бедра, мясо с жиром убранным до уровня 1/8"", жареная",204 кКал,204 кКал,204 кКал,204 кКал
"Говядина  разных категорий, мякоть верхней части бедра, мясо с жиром убранным до уровня 1/8"", сырая",166 кКал,166 кКал,166 кКал,166 кКал
"Говядина  разных категорий, мякоть верхней части бедра, мясо с жиром убранным до уровня 1/8"", тешеная",238 кКал,238 кКал,238 кКал,238 кКал
Говядина 1 кат.,218 кКал,218 кКал,218 кКал,218 кКал
Говядина 2 кат.,168 кКал,168 кКал,168 кКал,168 кКал
"Говядина жареная, по 1-396",168 кКал,168 кКал,168 кКал,168 кКал
"Говядина категории премиум, вырезка, мясо с жиром убранным до уровня 1/8"", жареная",308 кКал,308 кКал,308 кКал,308 кКал
"Говядина категории премиум, вырезка, мясо с жиром убранным до уровня 1/8"", обжаренная",343 кКал,343 кКал,343 кКал,343 кКал
"Говядина категории премиум, вырезка, мясо с жиром убранным до уровня 1/8"", сырая",274 кКал,274 кКал,274 кКал,274 кКал
