Продукт,Калорийность,Белки,Жиры,Углеводы
Белый гриб,34 кКал,34 кКал,34 кКал,34 кКал
Белый гриб сушеный,286 кКал,286 кКал,286 кКал,286 кКал
"Белый гриб, быстро обжаренный (стир-фрай)",26 кКал,26 кКал,26 кКал,26 кКал
"Белый гриб, вареный, без соли",28 кКал,28 кКал,28 кКал,28 кКал
"Белый гриб, вареный, с солью",28 кКал,28 кКал,28 кКал,28 кКал
"Белый гриб, выращенный под ультрафиолетом",22 кКал,22 кКал,22 кКал,22 кКал
"Белый гриб, приготовленный в микроволновке",35 кКал,35 кКал,35 кКал,35 кКал
"Белый гриб, сырой",22 кКал,22 кКал,22 кКал,22 кКал
Вешенки,33 кКал,33 кКал,33 кКал,33 кКал
Грибы жареные (сушеные) по 1-268,270 кКал,270 кКал,270 кКал,270 кКал
Грибы жареные в сметанном соусе по 1-242,172 кКал,172 кКал,172 кКал,172 кКал
Грибы жареные с картофелем по 1-242,114 кКал,114 кКал,114 кКал,114 кКал
"Грибы, запеченные в сметанном соусе по 1-260",188 кКал,188 кКал,188 кКал,188 кКал
"Грибы, консервированные, содержимое без жидкости",25 кКал,25 кКал,25 кКал,25 кКал
"Грибы, тушенные с картофелем по 1-228",117 кКал,117 кКал,117 кКал,117 кКал
Груздь,16 кКал,16 кКал,16 кКал,16 кКал
Лисички,32 кКал,32 кКал,32 кКал,32 кКал
Лисички,19 кКал,19 кКал,19 кКал,19 кКал
Маслята,9 кКал,9 кКал,9 кКал,9 кКал
Опенок,22 кКал,22 кКал,22 кКал,22 кКал
Подберезовик,20 кКал,20 кКал,20 кКал,20 кКал
Подберезовик сушеный,231 кКал,231 кКал,231 кКал,231 кКал
Подосиновик,22 кКал,22 кКал,22 кКал,22 кКал
Подосиновик сушеный,299 кКал,299 кКал,299 кКал,299 кКал
"Портобелло, грибы",22 кКал,22 кКал,22 кКал,22 кКал
"Портобелло, грибы приготовленные на гриле",29 кКал,29 кКал,29 кКал,29 кКал
"Портобелло, грибы, выращенные под ультрафиолетом",22 кКал,22 кКал,22 кКал,22 кКал
"Портобелло, грибы, выращенные под ультрафиолетом, приготовленные на гриле",29 кКал,29 кКал,29 кКал,29 кКал
Рыжик,22 кКал,22 кКал,22 кКал,22 кКал
"Сморчок, гриб",31 кКал,31 кКал,31 кКал,31 кКал
"Сморчок, гриб",22 кКал,22 кКал,22 кКал,22 кКал
"Соломенные грибы, консервированные, содержимое без жидкости",32 кКал,32 кКал,32 кКал,32 кКал
Сыроежки,19 кКал,19 кКал,19 кКал,19 кКал
Чернушка,0 кКал,0 кКал,0 кКал,0 кКал
Шампиньоны,27 кКал,27 кКал,27 кКал,27 кКал
"Шампиньоны, выращенные под ультрафиолетом",22 кКал,22 кКал,22 кКал,22 кКал
"Шампиньоны, сырые",22 кКал,22 кКал,22 кКал,22 кКал
"Шиитаке, грибы",34 кКал,34 кКал,34 кКал,34 кКал
"Шиитаке, грибы быстро обжаренные (стир-фрай)",39 кКал,39 кКал,39 кКал,39 кКал
"Шиитаке, грибы приготовленные, без соли",56 кКал,56 кКал,56 кКал,56 кКал
"Шиитаке, грибы приготовленные, с солью",56 кКал,56 кКал,56 кКал,56 кКал
"Шиитаке, грибы сушеные",296 кКал,296 кКал,296 кКал,296 кКал
"Эноки (опёнок зимний, энокитаки), грибы",37 кКал,37 кКал,37 кКал,37 кКал
