Продукт,Калорийность,Белки,Жиры,Углеводы
"Детское питание, Банан, без тапиоки, пюре",91 кКал,91 кКал,91 кКал,91 кКал
"Детское питание, Горошек и коричневый рис",64 кКал,64 кКал,64 кКал,64 кКал
"Детское питание, Груши, кубики, для детей, начинающих ходить",57 кКал,57 кКал,57 кКал,57 кКал
"Детское питание, Десерт, банан с яблоком, пюре",68 кКал,68 кКал,68 кКал,68 кКал
"Детское питание, Десерт, банановый йогурт, пюре",78 кКал,78 кКал,78 кКал,78 кКал
"Детское питание, Десерт, банановый пудинг, пюре",68 кКал,68 кКал,68 кКал,68 кКал
"Детское питание, Десерт, вишневый пудинг, с ванилью, пюре",68 кКал,68 кКал,68 кКал,68 кКал
"Детское питание, Десерт, голландские яблоки, пюре",75 кКал,75 кКал,75 кКал,75 кКал
"Детское питание, Десерт, заварной крем, ванильный, пюре",85 кКал,85 кКал,85 кКал,85 кКал
"Детское питание, Десерт, персиковый йогурт",77 кКал,77 кКал,77 кКал,77 кКал
"Детское питание, Десерт, персиковый коблер (фруктовый пирог с толстой верхней коркой), пюре",65 кКал,65 кКал,65 кКал,65 кКал
"Детское питание, Десерт, фруктовый пудинг, ананас, пюре",81 кКал,81 кКал,81 кКал,81 кКал
"Детское питание, Десерт, фруктовый пудинг, апельсиновый, пюре",80 кКал,80 кКал,80 кКал,80 кКал
"Детское питание, Десерт, фруктовый, без доб. аскорбиновой кислоты, пюре",59 кКал,59 кКал,59 кКал,59 кКал
"Детское питание, Десерт, черничный йогурт, пюре",77 кКал,77 кКал,77 кКал,77 кКал
"Детское питание, Йогурт, цельное молоко, с фруктами, со злаками, с доб. DHA-Докозагексаеновая кислота",98 кКал,98 кКал,98 кКал,98 кКал
"Детское питание, Йогурт, цельное молоко, с фруктами, со злаками, с доб. железа",92 кКал,92 кКал,92 кКал,92 кКал
"Детское питание, Картофельное пюре, чеддер и брокколи, для детей, начинающих ходить",48 кКал,48 кКал,48 кКал,48 кКал
"Детское питание, Картошка, для детей, начинающих ходить",52 кКал,52 кКал,52 кКал,52 кКал
"Детское питание, Каша, коричневый рис, сухая, быстрого приготовления",406 кКал,406 кКал,406 кКал,406 кКал
"Детское питание, Каша, овсяная, приготовленная на цельном молоке",116 кКал,116 кКал,116 кКал,116 кКал
"Детское питание, Каша, овсяная, с бананом, приготовленная на цельном молоке",86 кКал,86 кКал,86 кКал,86 кКал
"Детское питание, Каша, овсяная, с бананом, сухая",399 кКал,399 кКал,399 кКал,399 кКал
"Детское питание, Каша, овсяная, с медом, приготовленная на цельном молоке",115 кКал,115 кКал,115 кКал,115 кКал
"Детское питание, Каша, овсяная, с медом, сухая",391 кКал,391 кКал,391 кКал,391 кКал
"Детское питание, Каша, овсяная, сухая",394 кКал,394 кКал,394 кКал,394 кКал
"Детское питание, Каша, овсянка, яблочное пюре с бананами, пюре",75 кКал,75 кКал,75 кКал,75 кКал
"Детское питание, Каша, рис, яблочное пюре с бананами, пюре",80 кКал,80 кКал,80 кКал,80 кКал
"Детское питание, Каша, рисовая, приготовленная на цельном молоке",85 кКал,85 кКал,85 кКал,85 кКал
"Детское питание, Каша, рисовая, с бананом, приготовленная на цельном молоке",86 кКал,86 кКал,86 кКал,86 кКал
"Детское питание, Каша, рисовая, с бананом, сухая",404 кКал,404 кКал,404 кКал,404 кКал
"Детское питание, Каша, рисовая, с медом, приготовленная на цельном молоке",115 кКал,115 кКал,115 кКал,115 кКал
"Детское питание, Каша, рисовая, сухая",390 кКал,390 кКал,390 кКал,390 кКал
"Детское питание, Каша, с высоким содерж. белка, приготовленная на цельном молоке",111 кКал,111 кКал,111 кКал,111 кКал
"Детское питание, Каша, с высоким содерж. белка, с яблоком и апельсином, приготовленная на цельном молоке",112 кКал,112 кКал,112 кКал,112 кКал
"Детское питание, Каша, с высоким содерж. белка, с яблоком и апельсином, сухая",374 кКал,374 кКал,374 кКал,374 кКал
"Детское питание, Каша, с яичными желтками, пюре",51 кКал,51 кКал,51 кКал,51 кКал
"Детское питание, Каша, с яйцами, пюре",58 кКал,58 кКал,58 кКал,58 кКал
"Детское питание, Каша, смесь, приготовленная на цельном молоке",96 кКал,96 кКал,96 кКал,96 кКал
"Детское питание, Каша, смесь, с бананом, приготовленная на цельном молоке",86 кКал,86 кКал,86 кКал,86 кКал
"Детское питание, Каша, смесь, с бананом, сухая",391 кКал,391 кКал,391 кКал,391 кКал
"Детское питание, Каша, смесь, с медом, приготовленная на цельном молоке",115 кКал,115 кКал,115 кКал,115 кКал
"Детское питание, Каша, смесь, сухая",399 кКал,399 кКал,399 кКал,399 кКал
"Детское питание, Каша, цельная пшеница, с яблоками, сухая",402 кКал,402 кКал,402 кКал,402 кКал
"Детское питание, Каша, ячменная, приготовленная на цельном молоке",84 кКал,84 кКал,84 кКал,84 кКал
"Детское питание, Каша, ячменная, сухая",376 кКал,376 кКал,376 кКал,376 кКал
"Детское питание, Крендельки",397 кКал,397 кКал,397 кКал,397 кКал
"Детское питание, Кререры, овощные",477 кКал,477 кКал,477 кКал,477 кКал
