Продукт,Калорийность,Белки,Жиры,Углеводы
Арахисовое масло (жидкое) для заправки салатов или готовки,884 кКал,884 кКал,884 кКал,884 кКал
Арахисовое масло жидкое,899 кКал,899 кКал,899 кКал,899 кКал
Горчичное масло,898 кКал,898 кКал,898 кКал,898 кКал
Горчичное масло,884 кКал,884 кКал,884 кКал,884 кКал
Жир бараний топленый,897 кКал,897 кКал,897 кКал,897 кКал
Жир говяжий,902 кКал,902 кКал,902 кКал,902 кКал
Жир говяжий топленый,896 кКал,896 кКал,896 кКал,896 кКал
Жир гусиный,900 кКал,900 кКал,900 кКал,900 кКал
Жир индейки,900 кКал,900 кКал,900 кКал,900 кКал
"Жир кондитерский (шортенинг) для изготовления тортов и глазури, на основе гидрогенизированного соевого масла",884 кКал,884 кКал,884 кКал,884 кКал
"Жир кондитерский (шортенинг), на основе гидрогенизированного кокосового и/или гидрогенизированного пальмоядрового масла",884 кКал,884 кКал,884 кКал,884 кКал
"Жир кондитерский (шортенинг), на основе фракционированного пальмового масла",884 кКал,884 кКал,884 кКал,884 кКал
"Жир кондитерский 71% для изделий из слоёного теста, на основе хлопкового и частично гидрогенизированного соевого масел",628 кКал,628 кКал,628 кКал,628 кКал
"Жир кондитерский 80% для выпечки, изготовления соусов и конфет, на основе частично гидрогенизированного соевого масла",714 кКал,714 кКал,714 кКал,714 кКал
"Жир кондитерский 80% для изделий из слоёного теста, на основе хлопкового и частично гидрогенизированного соевого масел",714 кКал,714 кКал,714 кКал,714 кКал
Жир костный топленый,897 кКал,897 кКал,897 кКал,897 кКал
Жир кулинарный,897 кКал,897 кКал,897 кКал,897 кКал
"Жир кулинарный ""Прима""",897 кКал,897 кКал,897 кКал,897 кКал
Жир кулинарный «Белорусский»,897 кКал,897 кКал,897 кКал,897 кКал
Жир кулинарный «Восточный»,897 кКал,897 кКал,897 кКал,897 кКал
Жир кулинарный «Новинка»,897 кКал,897 кКал,897 кКал,897 кКал
Жир кулинарный «Украинский»,897 кКал,897 кКал,897 кКал,897 кКал
"Жир кулинарный (шортенинг) для выпечки и кондитерских изделий, на основе частично гидрогенизированного соевого масла",884 кКал,884 кКал,884 кКал,884 кКал
"Жир кулинарный (шортенинг) для выпечки хлеба, на основе соевого (гидрогенизированного) и хлопкового масел",884 кКал,884 кКал,884 кКал,884 кКал
"Жир кулинарный (шортенинг) для выпечки, на основе гидрогенизированного соевого, пальмового и хлопкового масел",884 кКал,884 кКал,884 кКал,884 кКал
"Жир кулинарный (шортенинг) для жарки на основе гидрогенизированного соевого масла, безлинолиевый (менее 1%)",884 кКал,884 кКал,884 кКал,884 кКал
"Жир кулинарный (шортенинг) для жарки, жидкий, на основе частично гидрогенизированного соевого масла",884 кКал,884 кКал,884 кКал,884 кКал
"Жир кулинарный (шортенинг) для жарки, на основе говяжьего жира и хлопкового масла",900 кКал,900 кКал,900 кКал,900 кКал
"Жир кулинарный (шортенинг) для жарки, на основе пальмового гидрогенизированного масла",884 кКал,884 кКал,884 кКал,884 кКал
Жир кулинарный для жарки на основе частично гидрогенизированного соевого и кукурузного масел,884 кКал,884 кКал,884 кКал,884 кКал
Жир кулинарный на основе свиного жира и растительного масла,900 кКал,900 кКал,900 кКал,900 кКал
"Жир кулинарный,  для тортов, на основе соевого (гидрогенизированного) и хлопкового (гидрогенизированного) масел",884 кКал,884 кКал,884 кКал,884 кКал
"Жир кулинарный, домашний, из смеси растительных масел",884 кКал,884 кКал,884 кКал,884 кКал
