Продукт,Калорийность,Белки,Жиры,Углеводы
"Агар (*в т. ч. НПВ-75,6)",12 кКал,12 кКал,12 кКал,12 кКал
Агар пищевой,16 кКал,16 кКал,16 кКал,16 кКал
Батончики на кондитерском жире,527 кКал,527 кКал,527 кКал,527 кКал
Вафли с жировыми начинками,542 кКал,542 кКал,542 кКал,542 кКал
Вафли с фруктово-ягодными начинками,354 кКал,354 кКал,354 кКал,354 кКал
Галеты,393 кКал,393 кКал,393 кКал,393 кКал
"Галеты, из муки высшего сорта",415 кКал,415 кКал,415 кКал,415 кКал
"Галеты, из муки первого сорта",345 кКал,345 кКал,345 кКал,345 кКал
Глазурь жировая,547 кКал,547 кКал,547 кКал,547 кКал
Глазурь шоколадная,542 кКал,542 кКал,542 кКал,542 кКал
"Десерт, хрустящие яблоки, приготовленные по рецепту",161 кКал,161 кКал,161 кКал,161 кКал
"Десерт, шоколадный мусс, приготовленный по рецепту",225 кКал,225 кКал,225 кКал,225 кКал
Драже сахарное,393 кКал,393 кКал,393 кКал,393 кКал
"Драже, ореховое","547,5 кКал","547,5 кКал","547,5 кКал","547,5 кКал"
"Драже, фруктово-ягодное в шоколаде",389 кКал,389 кКал,389 кКал,389 кКал
"Жвачка, 360 ккал",360 кКал,360 кКал,360 кКал,360 кКал
"Жвачка, без сахара, 268 ккал",268 кКал,268 кКал,268 кКал,268 кКал
Желатин пищевой,355 кКал,355 кКал,355 кКал,355 кКал
"Желатин, сухой порошок, неподслащенный",335 кКал,335 кКал,335 кКал,335 кКал
"Желе, десерт, сухая смесь, малокалорийный, с добавками: аспаратам (E951)",198 кКал,198 кКал,198 кКал,198 кКал
"Желе, десерт, сухая смесь, малокалорийный, с добавками: аспаратам (E951), без доб. натрия",345 кКал,345 кКал,345 кКал,345 кКал
"Желе, десерт, сухая смесь, малокалорийный, с добавками: аспаратам (E951), приготовленный на воде",20 кКал,20 кКал,20 кКал,20 кКал
"Желе, десерт, сухая смесь, малокалорийный, с добавками: аспаратам (E951), фосфор, калий, натрий, витамин C",345 кКал,345 кКал,345 кКал,345 кКал
"Желе, десерт, сухая смесь, приготовленный на воде",60 кКал,60 кКал,60 кКал,60 кКал
"Желе, десерт, сухая смесь, с доб. аскорбиновой кислоты, цитрата натрия, и соли",381 кКал,381 кКал,381 кКал,381 кКал
"Желе, сухая смесь",381 кКал,381 кКал,381 кКал,381 кКал
Жир кондитерский для шоколадных изделий,897 кКал,897 кКал,897 кКал,897 кКал
Жир кондитерский твердый,898 кКал,898 кКал,898 кКал,898 кКал
Заварные трубочки с кремом,329 кКал,329 кКал,329 кКал,329 кКал
"Замороженный йогурт, шоколадный",131 кКал,131 кКал,131 кКал,131 кКал
Зефир,326 кКал,326 кКал,326 кКал,326 кКал
"Зефир, глазированный шоколадом",396 кКал,396 кКал,396 кКал,396 кКал
Ирис полутвердый,408 кКал,408 кКал,408 кКал,408 кКал
Ирис тираженный,443 кКал,443 кКал,443 кКал,443 кКал
Какао-порошок,289 кКал,289 кКал,289 кКал,289 кКал
"Какао-порошок, неподслащенный",228 кКал,228 кКал,228 кКал,228 кКал
"Какао-порошок, неподслащенный, HERSHEY'S European Style Cocoa",410 кКал,410 кКал,410 кКал,410 кКал
"Какао-порошок, неподслащенный, прошедший алкализацию",220 кКал,220 кКал,220 кКал,220 кКал
"Какао-порошок, с высоким содерж. жира, или для завтрака, прошедший алкализацию",479 кКал,479 кКал,479 кКал,479 кКал
Какаовелла,147 кКал,147 кКал,147 кКал,147 кКал
Карамель глазированная,378 кКал,378 кКал,378 кКал,378 кКал
"Карамель, леденцовая",384 кКал,384 кКал,384 кКал,384 кКал
"Карамель, с ликерными начинками",358 кКал,358 кКал,358 кКал,358 кКал
"Карамель, с молочными начинками",377 кКал,377 кКал,377 кКал,377 кКал
"Карамель, с ореховыми начинками",410 кКал,410 кКал,410 кКал,410 кКал
"Карамель, с помадными начинками",366 кКал,366 кКал,366 кКал,366 кКал
"Карамель, с прохладительными начинками",429 кКал,429 кКал,429 кКал,429 кКал
"Карамель, с фруктово-ягодными начинками",371 кКал,371 кКал,371 кКал,371 кКал
"Карамель, с шоколадно-ореховыми начинками",427 кКал,427 кКал,427 кКал,427 кКал
Конфеты глазированные шоколадом с желейными корпусами,359 кКал,359 кКал,359 кКал,359 кКал
"Конфеты глазированные шоколадом, ассорти с пралиновыми начинками",533 кКал,533 кКал,533 кКал,533 кКал
"Конфеты глазированные шоколадом, с грильяжными корпусами",489 кКал,489 кКал,489 кКал,489 кКал
"Конфеты глазированные шоколадом, с комбинированными корпусами",414 кКал,414 кКал,414 кКал,414 кКал
"Конфеты глазированные шоколадом, с кремово-сбивными корпусами",463 кКал,463 кКал,463 кКал,463 кКал
"Конфеты глазированные шоколадом, с кремовыми корпусами",523 кКал,523 кКал,523 кКал,523 кКал
"Конфеты глазированные шоколадом, с начинками между слоями вафель",535 кКал,535 кКал,535 кКал,535 кКал
"Конфеты глазированные шоколадом, с помадными корпусами",399 кКал,399 кКал,399 кКал,399 кКал
"Конфеты глазированные шоколадом, с пралине со слоями вафель",533 кКал,533 кКал,533 кКал,533 кКал
"Конфеты глазированные шоколадом, с пралиновыми корпусами",533 кКал,533 кКал,533 кКал,533 кКал
"Конфеты глазированные шоколадом, с фруктовыми корпусами",369 кКал,369 кКал,369 кКал,369 кКал
"Конфеты глазированные шоколадом, с шоколадно-кремовыми корпусами",569 кКал,569 кКал,569 кКал,569 кКал
"Конфеты глазированные шоколадом, с шоколадно-ореховыми корпусами",547 кКал,547 кКал,547 кКал,547 кКал
"Конфеты глазированные шоколадом, со сбивными корпусами",413 кКал,413 кКал,413 кКал,413 кКал
Конфеты неглазированные шоколадные,491 кКал,491 кКал,491 кКал,491 кКал
"Конфеты неглазированные, молочные",364 кКал,364 кКал,364 кКал,364 кКал
"Конфеты неглазированные, помадные",445 кКал,445 кКал,445 кКал,445 кКал
"Конфеты неглазированные, фруктово-помадные",346 кКал,346 кКал,346 кКал,346 кКал
"Конфеты,  ALMOND JOY BITES",563 кКал,563 кКал,563 кКал,563 кКал
"Конфеты, MASTERFOODS USA, MILKY WAY Карамель, в глазури из молочного шоколада",463 кКал,463 кКал,463 кКал,463 кКал
"Конфеты, батончик  5TH AVENUE (произв: Корпорация Hershey)",482 кКал,482 кКал,482 кКал,482 кКал
"Конфеты, батончик ALMOND JOY (произв: Hershey)",479 кКал,479 кКал,479 кКал,479 кКал
"Конфеты, батончик BUTTERFINGER (произв: Нестле), NESTLE",459 кКал,459 кКал,459 кКал,459 кКал
"Конфеты, батончик Сникерс, SNICKERS (произв: MASTERFOODS USA)",491 кКал,491 кКал,491 кКал,491 кКал
"Конфеты, баточник 3 MUSKETEERS (произв: Мастерфудз США)",436 кКал,436 кКал,436 кКал,436 кКал
"Конфеты, в шоколадной глазури, диетические или низкокалорийные",590 кКал,590 кКал,590 кКал,590 кКал
"Конфеты, ирис",391 кКал,391 кКал,391 кКал,391 кКал
"Конфеты, карамель",382 кКал,382 кКал,382 кКал,382 кКал
"Конфеты, карамель с орехами в шоколадной глазури",470 кКал,470 кКал,470 кКал,470 кКал
"Конфеты, Твикс, печенье с карамелью и шоколадом (произв: MASTERFOODS USA)",502 кКал,502 кКал,502 кКал,502 кКал
Крекеры с цельнозерновой пшеничной мукой,463 кКал,463 кКал,463 кКал,463 кКал
"Крекеры, из муки высшего сорта",439 кКал,439 кКал,439 кКал,439 кКал
Ксилит пищевой,367 кКал,367 кКал,367 кКал,367 кКал
"Кукурузный сироп, светлый",283 кКал,283 кКал,283 кКал,283 кКал
"Кукурузный сироп, темный",286 кКал,286 кКал,286 кКал,286 кКал
Лукум сбивной,316 кКал,316 кКал,316 кКал,316 кКал
Мармелад,321 кКал,321 кКал,321 кКал,321 кКал
Мармелад желейный,321 кКал,321 кКал,321 кКал,321 кКал
"Мармелад, фруктово-ягодный глазированный шоколадом",349 кКал,349 кКал,349 кКал,349 кКал
Мед пчелиный,328 кКал,328 кКал,328 кКал,328 кКал
"Меласса, черная патока",290 кКал,290 кКал,290 кКал,290 кКал
"Мороженне, ванильное",207 кКал,207 кКал,207 кКал,207 кКал
"Мороженое, ванильное, жирное, 16.2% жира",249 кКал,249 кКал,249 кКал,249 кКал
"Мороженое, ванильное, лайт, без доб. сахара, 7.45% жира",169 кКал,169 кКал,169 кКал,169 кКал
"Мороженое, ванильное, лайт, магкое морожено, 2.6 жир",126 кКал,126 кКал,126 кКал,126 кКал
"Мороженое, ванильное, легкое",180 кКал,180 кКал,180 кКал,180 кКал
"Мороженое, ванильное, обезжиренное, 0% жира",138 кКал,138 кКал,138 кКал,138 кКал
"Мороженое, клубничное, 8.4% жира",192 кКал,192 кКал,192 кКал,192 кКал
"Мороженое, обычное, низкоуглеводное, ванильное, 12.7% жира",216 кКал,216 кКал,216 кКал,216 кКал
"Мороженое, обычное, низкоуглеводное, шоколадное, 12.7% жира",237 кКал,237 кКал,237 кКал,237 кКал
"Мороженое, французское, ванильное, мягкое, 13% жира",222 кКал,222 кКал,222 кКал,222 кКал
"Мороженое, шоколадное, 11% жира",216 кКал,216 кКал,216 кКал,216 кКал
"Мороженое, шоколадное, жирное, 17% жира",251 кКал,251 кКал,251 кКал,251 кКал
"Мороженое, шоколадное, лайт, 7.19 жир",187 кКал,187 кКал,187 кКал,187 кКал
"Мороженое, шоколадное, лайт, без доб. сахара, 5.74% жира",173 кКал,173 кКал,173 кКал,173 кКал
Пастила,324 кКал,324 кКал,324 кКал,324 кКал
"Пастила, глазированная шоколадом",402 кКал,402 кКал,402 кКал,402 кКал
Патока кукурузная,316 кКал,316 кКал,316 кКал,316 кКал
"Пектин (*в т. ч. РПВ-69,9)",52 кКал,52 кКал,52 кКал,52 кКал
"Пектин, жидкий",11 кКал,11 кКал,11 кКал,11 кКал
"Печенье овсяное, промышленного изготовления, обычное",450 кКал,450 кКал,450 кКал,450 кКал
Печенье сахарное из муки первого сорта,407 кКал,407 кКал,407 кКал,407 кКал
Печенье сдобное,451 кКал,451 кКал,451 кКал,451 кКал
"Печенье сливочное, промышленного изготовления, необогащенное",467 кКал,467 кКал,467 кКал,467 кКал
"Печенье сливочное, промышленного изготовления, обогащенное",467 кКал,467 кКал,467 кКал,467 кКал
"Печенье, ванильные вафли, с повышенным содерж. жира, 19,4%",455 кКал,455 кКал,455 кКал,455 кКал
"Печенье, ванильные вафли, с пониженным содерж. жира, 15.2%",441 кКал,441 кКал,441 кКал,441 кКал
"Печенье, ванильный сэндвич с кремовой начинкой",483 кКал,483 кКал,483 кКал,483 кКал
"Печенье, затяжное из муки высшего сорта",414 кКал,414 кКал,414 кКал,414 кКал
"Печенье, затяжное из муки первого сорта",396 кКал,396 кКал,396 кКал,396 кКал
"Печенье, овсяное, охлажденное тесто",424 кКал,424 кКал,424 кКал,424 кКал
"Печенье, овсяное, охлажденное тесто, испеченное",471 кКал,471 кКал,471 кКал,471 кКал
"Печенье, овсяное, с изюмом",441 кКал,441 кКал,441 кКал,441 кКал
"Печенье, овсяное, сухая смесь",462 кКал,462 кКал,462 кКал,462 кКал
"Печенье, с пониженным содержанием сахара",493 кКал,493 кКал,493 кКал,493 кКал
"Печенье, сахарное из муки высшего сорта",417 кКал,417 кКал,417 кКал,417 кКал
"Печенье, сахарное, охлажденное тесто, испеченное",489 кКал,489 кКал,489 кКал,489 кКал
"Печенье, сахарные вафли с кремовой начинкой, обычные",502 кКал,502 кКал,502 кКал,502 кКал
"Печенье, сдобное миндальное",422 кКал,422 кКал,422 кКал,422 кКал
"Печенье, шоколадное, приготовленное по рецепту",466 кКал,466 кКал,466 кКал,466 кКал
"Печенье, шоколадное, промышленного изготовления",405 кКал,405 кКал,405 кКал,405 кКал
"Печенье, шоколадное, сухая смесь, диетическая",426 кКал,426 кКал,426 кКал,426 кКал
"Печенье, шоколадное, сухая смесь, стандартная",434 кКал,434 кКал,434 кКал,434 кКал
"Печенье, шоколадные кусочки, промышленного изготовления, мягкое",444 кКал,444 кКал,444 кКал,444 кКал
"Печенье, шоколадные кусочки, промышленного изготовления, станд., с повышенным содержанием жира, необогащенное",481 кКал,481 кКал,481 кКал,481 кКал
"Печенье, шоколадные кусочки, промышленного изготовления, станд., с повышенным содержанием жира, обогащенное",492 кКал,492 кКал,492 кКал,492 кКал
"Печенье, шоколадные кусочки, промышленного изготовления, станд., с пониженным содержанием жира",451 кКал,451 кКал,451 кКал,451 кКал
Пирожное бисквитное с белковым кремом,336 кКал,336 кКал,336 кКал,336 кКал
Пирожное вафельное молочное,572 кКал,572 кКал,572 кКал,572 кКал
Пирожное воздушное с кремом,440 кКал,440 кКал,440 кКал,440 кКал
Пирожное заварное с кремом (трубочка),433 кКал,433 кКал,433 кКал,433 кКал
Пирожное крошковое,388 кКал,388 кКал,388 кКал,388 кКал
Пирожное миндальное,433 кКал,433 кКал,433 кКал,433 кКал
Пирожное песочное с кремом,485 кКал,485 кКал,485 кКал,485 кКал
Пирожное песочное с фруктовой начинкой,435 кКал,435 кКал,435 кКал,435 кКал
Пирожное слоеное с белковым кремом,461 кКал,461 кКал,461 кКал,461 кКал
"Пирожное, белково-сбивное",468 кКал,468 кКал,468 кКал,468 кКал
"Пирожное, бисквитное, с фруктовой начинкой",351 кКал,351 кКал,351 кКал,351 кКал
"Пирожное, слоеное с кремом",555 кКал,555 кКал,555 кКал,555 кКал
"Пирожное, слоеное с яблочной начинкой",466 кКал,466 кКал,466 кКал,466 кКал
Плитки кондитерские,537 кКал,537 кКал,537 кКал,537 кКал
Плитки кондитерские сладкие,552 кКал,552 кКал,552 кКал,552 кКал
Пралине с ржаной мукой,567 кКал,567 кКал,567 кКал,567 кКал
"Пралине с соевой мукой (*раффинозы и стахиозы менее 0,3%)",535 кКал,535 кКал,535 кКал,535 кКал
Пряники заварные,366 кКал,366 кКал,366 кКал,366 кКал
Пряники сырцовые,346 кКал,346 кКал,346 кКал,346 кКал
"Пудинг из тапиоки, приготовленный на цельном молоке",115 кКал,115 кКал,115 кКал,115 кКал
"Пудинг, банановый, быстрого приготовления, приготовленный на цельном молоке",115 кКал,115 кКал,115 кКал,115 кКал
"Пудинг, банановый, обычный, приготовленный на цельном молоке",111 кКал,111 кКал,111 кКал,111 кКал
"Пудинг, банановый, сухая смесь, быстрого приготовления",367 кКал,367 кКал,367 кКал,367 кКал
"Пудинг, банановый, сухая смесь, быстрого приготовления, с доб масла",386 кКал,386 кКал,386 кКал,386 кКал
"Пудинг, банановый, сухая смесь, обычный",366 кКал,366 кКал,366 кКал,366 кКал
"Пудинг, банановый, сухая смесь, обычный, с доб масла",387 кКал,387 кКал,387 кКал,387 кКал
"Пудинг, ванильный, быстрого приготовления, приготовленный на цельном молоке",114 кКал,114 кКал,114 кКал,114 кКал
"Пудинг, ванильный, готовый к употреблению",130 кКал,130 кКал,130 кКал,130 кКал
"Пудинг, ванильный, готовый к употреблению, обезжиренный",89 кКал,89 кКал,89 кКал,89 кКал
"Пудинг, ванильный, обычный, приготовленный на цельном молоке",113 кКал,113 кКал,113 кКал,113 кКал
"Пудинг, ванильный, сухая смесь, быстрого приготовления",377 кКал,377 кКал,377 кКал,377 кКал
"Пудинг, ванильный, сухая смесь, обычный",379 кКал,379 кКал,379 кКал,379 кКал
"Пудинг, ванильный, сухая смесь, обычный, с доб масла",369 кКал,369 кКал,369 кКал,369 кКал
