Продукт,Калорийность,Белки,Жиры,Углеводы
"Амарант, зерна, неприготовленные",371 кКал,371 кКал,371 кКал,371 кКал
"Амарант, зерна, приготовленные",102 кКал,102 кКал,102 кКал,102 кКал
Амарантовые хлопья,353 кКал,353 кКал,353 кКал,353 кКал
Аррорут (крахмал из клубней маранты),357 кКал,357 кКал,357 кКал,357 кКал
"Биточки перловые с творогом, по 1-294",166 кКал,166 кКал,166 кКал,166 кКал
"Биточки пшенные, по 1-292",170 кКал,170 кКал,170 кКал,170 кКал
"Булгур, крупа",342 кКал,342 кКал,342 кКал,342 кКал
"Булгур, приготовленный",83 кКал,83 кКал,83 кКал,83 кКал
"Готовый завтрак,  воздушная пшеница, обогащенный",364 кКал,364 кКал,364 кКал,364 кКал
"Готовый завтрак, воздушный рис (произв: The Quaker Oats, Co.)",383 кКал,383 кКал,383 кКал,383 кКал
"Готовый завтрак, воздушный рис, обогащенный",402 кКал,402 кКал,402 кКал,402 кКал
"Готовый завтрак, зародыши пшеницы, поджаренные",382 кКал,382 кКал,382 кКал,382 кКал
"Готовый завтрак, овсяные колечки с кусочками пастилы",400 кКал,400 кКал,400 кКал,400 кКал
"Готовый завтрак, овсяные подушечки с корицей, QUAKER",379 кКал,379 кКал,379 кКал,379 кКал
"Готовый завтрак, овсяные подушечки, QUAKER",379 кКал,379 кКал,379 кКал,379 кКал
"Готовый завтрак, пшеница с отрубями, орехами и фруктами, сухой",385 кКал,385 кКал,385 кКал,385 кКал
"Готовый завтрак, хрустящий рис (произв: Ральстон Фудс)",383 кКал,383 кКал,383 кКал,383 кКал
"Готовый завтрак, хрустящий рис, MALT-O-MEAL",346 кКал,346 кКал,346 кКал,346 кКал
"Гречиха, зерно",343 кКал,343 кКал,343 кКал,343 кКал
"Гречиха, зерно цельное необработанное",296 кКал,296 кКал,296 кКал,296 кКал
Гречневая каша из крупы ядрица по 1-278,101 кКал,101 кКал,101 кКал,101 кКал
Гречневая каша рассыпчатая (гречка отварная без соли и масла),"100,9 кКал","100,9 кКал","100,9 кКал","100,9 кКал"
Гречневая крупа продел,300 кКал,300 кКал,300 кКал,300 кКал
Гречневая крупа ядрица,308 кКал,308 кКал,308 кКал,308 кКал
"Гречневая крупа, обжаренная, приготовленная",92 кКал,92 кКал,92 кКал,92 кКал
"Гречневая крупа, обжаренная, сухая",346 кКал,346 кКал,346 кКал,346 кКал
Гречневая мука,353 кКал,353 кКал,353 кКал,353 кКал
"Гречневая мука, цельнозерновая",335 кКал,335 кКал,335 кКал,335 кКал
Дрожжи прессованные (*эргостерин),109 кКал,109 кКал,109 кКал,109 кКал
"Инкапарина, смесь кукурузной и соевой муки, неприготовленный",379 кКал,379 кКал,379 кКал,379 кКал
"Камут (пшеница хорасан), неприготовленный",337 кКал,337 кКал,337 кКал,337 кКал
"Камут (пшеница хорасан), приготовленный",132 кКал,132 кКал,132 кКал,132 кКал
Картофельный крахмал,357 кКал,357 кКал,357 кКал,357 кКал
"Каша фарина (крахмал, картофельная мука), обогащенная, приготовленная на воде, с солью",53 кКал,53 кКал,53 кКал,53 кКал
"Каша фарина (крахмал, картофельная мука), сухая",369 кКал,369 кКал,369 кКал,369 кКал
"Киноа, неприготовленная",368 кКал,368 кКал,368 кКал,368 кКал
"Киноа, приготовленная",120 кКал,120 кКал,120 кКал,120 кКал
"Клецки, по 2-196",131 кКал,131 кКал,131 кКал,131 кКал
Котлеты манные по 1-294,141 кКал,141 кКал,141 кКал,141 кКал
Крахмал картофельный,313 кКал,313 кКал,313 кКал,313 кКал
"Крупеник из гречневой крупы, по 1-288",199 кКал,199 кКал,199 кКал,199 кКал
"Кукуруза белая, зерно сухое",365 кКал,365 кКал,365 кКал,365 кКал
"Кукуруза белая, приготовленная на пару (Навахо)",386 кКал,386 кКал,386 кКал,386 кКал
"Кукуруза желтая, замороженная цельными зернами, приготовленная в микроволновке",113 кКал,113 кКал,113 кКал,113 кКал
"Кукуруза желтая, зерно сухое",365 кКал,365 кКал,365 кКал,365 кКал
