Продукт,Калорийность,Белки,Жиры,Углеводы
KRAFT BREAKSTONE'S FREE Обезжиренная сметана,91 кКал,91 кКал,91 кКал,91 кКал
KRAFT BREYERS LIGHT N' LIVELY Клубничний йогурт 1% с низким содержанием жира,108 кКал,108 кКал,108 кКал,108 кКал
KRAFT BREYERS LIGHT Обезжиренный клубничный йогурт (с заменителями сахара аспартам и фруктозой),55 кКал,55 кКал,55 кКал,55 кКал
KRAFT BREYERS Smooth  Creamy Клубничний йогурт 1% с низким содержанием жира,102 кКал,102 кКал,102 кКал,102 кКал
KRAFT BREYERS Клубничний йогурт 1% с низким содержанием жира,96 кКал,96 кКал,96 кКал,96 кКал
"KRAFT CHEEZ WHIZ LIGHT, Пастеризованый плавленый сыр",215 кКал,215 кКал,215 кКал,215 кКал
"KRAFT CHEEZ WHIZ, Пастеризованый плавленый сырный соус",276 кКал,276 кКал,276 кКал,276 кКал
"KRAFT FREE, Обезжиренный пастеризованый плавленый сыр",148 кКал,148 кКал,148 кКал,148 кКал
KRAFT VELVEETA LIGHT Пастеризованый плавленый сыр с низким модержанием жира,222 кКал,222 кКал,222 кКал,222 кКал
Ацидофилин 1%,40 кКал,40 кКал,40 кКал,40 кКал
"Ацидофилин 3,2% жирности",59 кКал,59 кКал,59 кКал,59 кКал
"Ацидофилин 3,2% жирности сладкий",77 кКал,77 кКал,77 кКал,77 кКал
Ацидофилин обезжиренный,31 кКал,31 кКал,31 кКал,31 кКал
"Белковая добавка, на основе молока, Muscle Milk Light, порошок",396 кКал,396 кКал,396 кКал,396 кКал
"Белковая добавка, на основе молока, Muscle Milk, порошок",411 кКал,411 кКал,411 кКал,411 кКал
"Брынза из коровьего молока, м.д.ж. 40% в сух. в-ве",262 кКал,262 кКал,262 кКал,262 кКал
"Брынза овечья, м.д.ж. 40% в сух. в-ве",260 кКал,260 кКал,260 кКал,260 кКал
"Варенец  2,5% жирности",53 кКал,53 кКал,53 кКал,53 кКал
"Дульсе де лече, варёное сгущенное молоко (латиноамериканский десерт)",315 кКал,315 кКал,315 кКал,315 кКал
"Заменитель взбитых сливок, приготовленный из порошка, 6% жирности",100 кКал,100 кКал,100 кКал,100 кКал
Заменитель молока с маслами лауриновой кислоты,61 кКал,61 кКал,61 кКал,61 кКал
"Заменитель молока, без сои",46 кКал,46 кКал,46 кКал,46 кКал
"Заменитель молока, порошок",529 кКал,529 кКал,529 кКал,529 кКал
Заменитель сливок 10% жирности с гидрогенизированным растительным маслом и протеинами сои,136 кКал,136 кКал,136 кКал,136 кКал
Заменитель сливок 10% жирности с маслами лауриновой кислоты и казеинатом натрия,136 кКал,136 кКал,136 кКал,136 кКал
"Заменитель сливок 13,5% жирности ароматизированный",251 кКал,251 кКал,251 кКал,251 кКал
"Заменитель сливок 3,5% жирности",71 кКал,71 кКал,71 кКал,71 кКал
"Заменитель сливок сухой 15,7% жироности",431 кКал,431 кКал,431 кКал,431 кКал
"Заменитель сливок сухой 21,5% жироности ароматизированный",482 кКал,482 кКал,482 кКал,482 кКал
"Заменитель сливочного масла, обезжиренный, порошок",373 кКал,373 кКал,373 кКал,373 кКал
"Заменитель сметаны 19,5% жирности",208 кКал,208 кКал,208 кКал,208 кКал
"Заменитель сыра (иммитация), американский или чеддер, с низким содержанием холестерина",390 кКал,390 кКал,390 кКал,390 кКал
"Заменитель сыра (иммитация), американский чеддер",239 кКал,239 кКал,239 кКал,239 кКал
"Заменитель сыра, моцарелла",248 кКал,248 кКал,248 кКал,248 кКал
"Заправка для десерта, в аэрозольной упаковке",264 кКал,264 кКал,264 кКал,264 кКал
"Заправка для десерта, полужидкая, замороженная",318 кКал,318 кКал,318 кКал,318 кКал
"Заправка для десерта, порошок",577 кКал,577 кКал,577 кКал,577 кКал
"Заправка для десерта, порошок, 1,5 унции приготовлены на пол стакана молока",194 кКал,194 кКал,194 кКал,194 кКал
"Йогурт 1,15% жирности, 4% белка, фруктовый",99 кКал,99 кКал,99 кКал,99 кКал
"Йогурт 1,15% жирности, 4% белка, фруктовый, с витамином D",99 кКал,99 кКал,99 кКал,99 кКал
"Йогурт 1,25% жирности, 5% белка, ванильный",85 кКал,85 кКал,85 кКал,85 кКал
"Йогурт 1,25% жирности, 5% белка, с витамином D, ванильный",85 кКал,85 кКал,85 кКал,85 кКал
"Йогурт 1,25% жирности, ванильный, с низкокалорийным подсластителем",86 кКал,86 кКал,86 кКал,86 кКал
"Йогурт 1,4% жирности, 4,9% белка, фруктовый",105 кКал,105 кКал,105 кКал,105 кКал
"Йогурт 1,4% жирности, фруктовый, с низкокалорийным подсластителем",105 кКал,105 кКал,105 кКал,105 кКал
